id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,OMP,RT_I
1,1,1,1,0.6526924707038025,1,1,1,1,False,False,False,False,False,1,1,35,0.6593179292961974,0.009999352524181609,0.6560052,1,1,True,1,False,1
2,1024,512,2048,inf,8,16,128,1,False,False,False,True,False,1,1,1,inf,inf,inf,8,1,False,4,True,1
3,1024,256,1024,0.640277985370997,32,512,32,16,False,True,True,True,False,24,1,35,0.6454085289147171,0.007743179256030458,0.6428432571428571,12,27,True,1,False,1
4,2048,1024,64,0.4271935571693815,1,1,256,256,False,True,True,False,True,23,1,35,0.44268227140204713,0.02337605942274082,0.4349379142857143,1,17,True,24,False,1
5,2048,128,1024,0.7167154964685614,1,1,64,256,True,False,True,False,True,23,32,35,0.7224717035314387,0.008687450509458215,0.7195936,22,1,True,26,False,1
6,128,1,2048,inf,1,1,64,128,True,True,True,False,False,26,1,1,inf,inf,inf,16,7,False,1,True,8
7,256,128,256,inf,8,64,1,16,False,False,True,False,False,3,1,1,inf,inf,inf,23,1,False,27,True,8
8,1,512,512,0.7807795687032731,1,32,256,16,True,False,True,True,False,1,8,35,0.7839329455824412,0.004759176533470341,0.7823562571428572,18,1,True,14,False,1
9,2048,256,1024,0.7279100259995376,1,32,128,512,True,True,False,True,True,24,1,35,0.729687916857605,0.0026832493466553775,0.7287989714285713,18,1,True,24,False,1
10,512,256,1024,0.7623964154204966,1,64,128,64,True,True,False,True,True,29,8,35,0.7636980417223608,0.0019644557528480976,0.7630472285714287,8,1,True,14,False,1
11,1024,128,2048,0.5392182702703374,1,256,1,1,True,False,False,False,False,5,32,35,0.5513037297296626,0.018239759235566366,0.545261,29,18,True,1,False,1
12,512,1024,128,inf,32,64,64,16,True,True,True,True,True,27,1,1,inf,inf,inf,1,30,False,19,True,1
13,2048,1,1,inf,32,1,64,256,False,False,True,True,False,25,1,1,inf,inf,inf,5,1,False,12,True,1
14,1024,2048,2048,inf,32,1,16,256,False,False,True,True,False,28,1,1,inf,inf,inf,19,16,False,1,True,1
15,1024,64,256,inf,32,32,1,1,False,True,True,True,True,14,1,1,inf,inf,inf,8,6,False,1,True,1
16,128,1024,2048,inf,32,16,64,32,False,True,False,True,False,10,1,1,inf,inf,inf,8,1,False,23,True,1
17,1,2048,2048,0.36974449527862485,8,256,1,64,False,False,False,True,False,15,8,35,0.37122910472137516,0.0022406197203962536,0.3704868,29,17,True,1,False,1
18,1024,2048,1,inf,8,32,16,1,False,False,True,True,False,25,1,1,inf,inf,inf,4,1,False,25,True,1
19,2048,256,1,inf,1,128,32,64,True,False,True,False,False,27,1,1,inf,inf,inf,1,7,False,18,True,8
20,512,2048,2048,inf,1,1,512,1,False,True,True,True,True,17,1,1,inf,inf,inf,24,26,False,1,True,8
21,128,256,1024,inf,1,16,64,128,False,True,True,True,True,30,8,1,inf,inf,inf,2,1,False,29,True,8
22,1024,1024,1,inf,1,256,64,16,False,False,False,True,False,7,8,1,inf,inf,inf,23,2,False,1,True,8
23,256,1,2048,inf,8,512,64,32,True,True,False,True,True,20,1,1,inf,inf,inf,14,14,False,1,True,8
24,1,128,512,0.7580461163796396,1,16,16,512,False,False,False,True,False,29,8,35,0.7592671979060747,0.0018428950197657997,0.7586566571428571,1,17,True,7,False,1
25,1,256,128,0.6502795504217909,1,16,256,1,False,False,False,True,False,27,1,35,0.6518662210067805,0.0023946536376022393,0.6510728857142857,22,6,True,1,False,32
26,256,512,2048,inf,8,1,512,128,True,True,False,False,True,23,1,1,inf,inf,inf,27,1,False,9,True,8
27,2048,512,2048,0.3945698832380355,1,1,256,128,False,True,True,False,True,21,1,35,0.39771005961910727,0.004739253922511517,0.3961399714285714,26,1,True,15,False,32
