id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1879,1,32,1,1,128,1,128,64,19,0.17159662463312,32,64,512,RS,8,False,True,True,64,1024,False,25,1,21,1,1,35,128,17,1,0.17285291428571428,1,True,0.0037920644838657347,True,0.17410920393830856
1880,1,1,64,8,64,128,128,512,15,0.18059992265406824,512,32,16,RS,8,True,False,False,2048,512,True,26,1,13,1,1,35,1,1,28,0.18147634285714284,8,True,0.0026454424090484067,True,0.18235276306021744
1881,32,1,1024,1,256,256,1,1,18,0.21916475410452732,64,64,128,RS,1,False,False,False,1024,128,True,9,4,1,2048,32,35,512,1,13,0.2199333142857143,1,False,0.0023198708679755503,True,0.2207018744669013
1882,1,8,1,1,1,64,256,256,2,0.10622724399579576,64,64,64,RS,1,False,False,False,2048,512,True,9,3,1,64,8,35,1,15,1,0.10683577142857144,1,True,0.001836817855278358,True,0.10744429886134711
1883,8,8,128,1,64,32,16,512,20,0.13124417246095096,16,64,32,RS,1,True,True,True,64,2048,False,12,1,21,64,1,35,512,1,19,0.1334509142857143,32,True,0.006660969690760085,True,0.13565765611047761
1884,1,32,2048,1,1,1,256,2048,20,0.09267320573566803,16,16,32,RS,8,False,False,True,512,1024,False,25,1,7,1,8,35,256,1,16,0.09518682571428572,1,False,0.007587270202510925,True,0.0977004456929034
1885,1,1,64,32,1,256,32,256,1,0.18590137022676384,1,16,16,RS,32,False,False,False,64,64,True,22,7,1,256,1,35,128,15,28,0.1864727714285714,1,True,0.0017247536815559522,True,0.18704417263037898
1886,1,8,64,8,1,32,512,512,1,0.19463796721831966,256,16,256,RS,8,False,False,False,2048,2048,True,13,1,21,512,1,35,1,17,14,0.19544899999999998,1,False,0.002448072863061301,True,0.1962600327816803
1887,1,1,256,32,64,16,1,128,24,0.23091186696002688,32,64,32,RS,1,True,True,False,512,256,False,10,13,1,1024,8,35,256,1,30,0.2335775714285714,8,True,0.008046331686944463,True,0.23624327589711594
1888,32,1,512,1,64,512,512,512,14,0.22678409791983403,32,256,512,RS,32,True,True,True,64,512,True,15,15,1,1024,1,35,2048,1,17,0.22747091428571425,1,True,0.0020731301436844396,True,0.22815773065159448
1889,8,1,512,1,32,128,64,1024,1,0.1214127366769881,1,256,512,RS,1,False,True,True,256,1024,False,9,1,2,512,1,35,64,23,7,0.1221696857142857,1,False,0.002284823053748098,True,0.1229266347515833
1890,1,8,128,1,64,32,64,64,1,0.12496592857977655,256,16,16,RS,8,False,True,True,256,2048,True,9,1,30,512,8,35,64,17,5,0.12577477142857144,1,True,0.0024414626305406624,True,0.1265836142773663
1891,1,8,512,8,128,16,32,1024,1,0.17374649657437854,32,64,256,RS,32,True,True,False,64,512,False,1,10,17,128,1,35,256,15,16,0.17450865714285715,1,True,0.00230055387048867,True,0.17527081771133576
1892,8,1,64,1,256,1,32,512,22,0.15647420743763288,32,32,32,RS,8,False,True,True,1024,128,True,6,1,8,2048,8,35,2048,1,11,0.15713282857142857,1,False,0.0019880238642677197,True,0.15779144970522427
1893,1,32,512,1,128,256,64,1024,1,0.2954379091813574,256,128,128,RS,8,True,True,True,2048,256,True,1,25,16,512,1,35,1,11,20,0.2966067142857143,8,False,0.003527995566659253,True,0.29777551939007113
1894,1,1,64,8,64,256,128,1024,9,0.12453276205894583,16,64,16,RS,1,True,False,True,1024,1024,True,1,8,25,1,1,35,1,1,10,0.12519094285714288,8,False,0.0019866947273277395,True,0.12584912365533996
