id,T2_K,T2_J,T2_I,RT_K,T1_I,T1_J,T1_K,cost_8,cost_9,VEC2,VEC1,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,mean_cost,RT_I,U_K,U_J,U_I,OMP,cost_7
11,1,256,128,1,16,256,1,0.668155,0.667999,False,False,0.670705,0.669229,0.669616,0.668918,0.674348,0.681412,0.672365,False,True,False,27,1,0.6714547,32,1,22,6,False,0.6718
12,2048,512,2048,1,1,256,128,0.44586,0.434133,False,True,0.434712,0.436438,0.434042,0.443232,0.460858,0.433547,0.433781,True,False,True,21,1,0.43900300000000003,32,15,26,1,False,0.433427
13,256,2048,512,1,1,256,64,0.24991,0.250731,True,True,0.251215,0.254224,0.251969,0.250411,0.249926,0.249952,0.25131,True,False,True,11,8,0.25102539999999995,8,23,1,16,False,0.250606
14,512,128,128,1,128,32,256,0.735811,0.735215,False,True,0.735773,0.735338,0.736868,0.736258,0.737799,0.739598,0.734915,True,True,True,25,1,0.7362563,1,12,24,1,False,0.734988
15,1024,1024,1,8,16,128,32,0.454601,0.448099,True,True,0.447823,0.448185,0.449404,0.447967,0.44799,0.449746,0.448652,False,False,True,27,1,0.4491763000000001,8,1,19,16,False,0.449296
16,256,512,2048,1,256,64,256,0.287037,0.287339,True,True,0.288034,0.289957,0.287227,0.287332,0.288225,0.286776,0.287385,False,False,True,9,1,0.28765280000000004,8,30,9,1,False,0.287216
17,2048,2048,512,1,128,16,256,0.840649,0.84366,False,True,0.838434,0.839565,0.838745,0.838885,0.84009,0.840895,0.840711,False,False,True,21,8,0.8404751000000001,1,19,1,1,False,0.843117
18,1024,256,1024,1,16,16,1,0.537667,0.539488,True,False,0.534903,0.536816,0.538715,0.537222,0.537698,0.538056,0.538747,False,False,False,10,32,0.5376044999999999,1,1,18,14,False,0.536733
19,1,64,1024,1,64,1,128,0.346233,0.344128,True,False,0.342657,0.35329,0.346326,0.342961,0.345568,0.342588,0.342538,True,False,True,8,8,0.3448698,1,14,1,4,False,0.342409
20,1,256,256,1,256,64,1,0.57057,0.575246,True,False,0.566425,0.566441,0.568311,0.570351,0.570361,0.574037,0.575013,True,False,False,19,32,0.5718765,1,1,28,28,False,0.58201
21,1024,1024,512,8,256,512,128,0.710116,0.710034,True,False,0.710453,0.709633,0.707555,0.709213,0.709806,0.708299,0.711861,True,False,True,10,8,0.7096653,1,3,8,1,False,0.709683
22,256,1,512,1,1,64,128,0.579158,0.584887,False,False,0.574429,0.576836,0.577212,0.574784,0.575168,0.583088,0.575782,True,True,True,20,1,0.578146,1,1,5,14,False,0.580116
23,128,2048,256,1,64,1,1,0.777331,0.774891,True,True,0.778253,0.775214,0.777016,0.776285,0.774102,0.776997,0.777013,True,True,True,19,1,0.77647,1,1,2,11,False,0.777598
24,256,64,512,1,1,1,32,0.748867,0.748085,False,False,0.747474,0.747666,0.7474,0.748064,0.747636,0.748417,0.746531,False,False,False,2,1,0.7478043999999999,1,17,12,1,False,0.747904
25,128,1024,256,8,128,1,1,0.422252,0.421424,False,False,0.426521,0.419245,0.420633,0.425294,0.421529,0.422371,0.424,True,True,True,22,8,0.4224868,1,1,17,24,False,0.421599
26,512,1,256,1,1,64,16,0.371663,0.37137,True,False,0.370238,0.3704,0.370079,0.37121,0.372855,0.371587,0.369018,False,False,False,11,8,0.37101660000000003,1,1,23,15,False,0.371746
27,64,256,256,1,1,128,16,0.295939,0.297696,False,True,0.29568,0.295975,0.294364,0.294146,0.294127,0.294026,0.294175,False,True,False,6,8,0.29516950000000003,8,1,18,28,False,0.295567
28,512,1024,1,8,64,32,256,0.721422,0.722132,True,False,0.718732,0.718499,0.718591,0.717831,0.720941,0.719958,0.718766,True,False,True,24,1,0.7196675000000001,1,3,29,1,False,0.719803
29,2048,2048,128,8,128,256,32,0.367262,0.366687,True,True,0.367347,0.372619,0.366959,0.366104,0.368298,0.366837,0.366757,True,False,True,28,1,0.3680967,8,1,26,9,False,0.372097
