id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1,128,64,0.7870055449086995,1,16,1,32,RS,False,False,False,True,False,7,1,30,0.8073500550913006,0.028426918138037167,0.7971778,12,1,True,9,1
2,512,128,2048,0.7350917281627289,8,256,16,128,RS,False,True,True,False,True,28,8,30,0.7444685385039373,0.0131020023373868,0.7397801333333331,16,1,True,11,1
3,1,2048,256,0.25416897037890074,8,128,32,256,RS,True,False,True,False,True,9,1,30,0.2554431629544326,0.0017804001035971913,0.25480606666666666,1,11,True,30,8
4,256,2048,1,inf,1,32,256,16,RS,True,False,False,True,True,25,32,1,inf,inf,inf,3,3,False,1,1
5,512,2048,64,0.4022390894925101,1,16,512,128,RS,True,True,False,False,False,27,1,30,0.4033073105074899,0.0014926007593012536,0.4027732,17,15,True,1,8
6,128,2048,1024,0.6140557233993444,1,1,512,16,RS,True,False,False,False,False,13,32,30,0.6283878766006556,0.02002598942607664,0.6212218,20,24,True,1,1
7,256,1,128,0.7529705221096465,8,16,128,64,RS,True,True,False,True,False,29,8,30,0.7613955445570206,0.011772090911652966,0.7571830333333336,1,17,True,28,1
8,1024,128,512,0.8708340070330539,32,128,32,16,RS,True,False,False,True,False,19,1,30,0.8797093929669461,0.012401373496915577,0.8752717,21,1,True,19,1
9,1024,1024,512,0.5163742117653439,1,64,512,16,RS,False,False,False,False,False,12,8,30,0.5172065215679894,0.0011629674252627404,0.5167903666666667,1,22,True,18,1
10,256,512,256,inf,1,1,256,16,RS,False,True,False,True,False,6,32,1,inf,inf,inf,1,10,False,28,1
11,128,1,512,0.32891873089387336,1,128,1,1,RS,True,False,True,True,True,7,1,30,0.33077073577279337,0.002587764001776222,0.32984473333333336,7,1,True,12,32
12,1,1024,1024,0.758595927533131,1,1,256,16,RS,False,False,True,False,False,12,32,30,0.7602480724668691,0.002308504277665521,0.759422,2,1,True,3,1
13,2048,2048,256,0.49805199058589616,8,1,16,128,RS,False,True,False,False,True,17,1,30,0.5016119427474371,0.004974239623522599,0.4998319666666667,22,19,True,1,1
14,64,1024,1,0.7553691573507352,8,32,512,1,RS,False,True,False,False,False,18,8,30,0.7560381759825981,0.000934804412103884,0.7557036666666667,18,1,True,20,1
15,2048,2048,256,inf,1,256,16,128,RS,True,True,True,True,False,27,32,1,inf,inf,inf,3,1,False,25,1
16,1,1024,256,0.5188298912665744,8,128,16,16,RS,False,False,False,False,True,21,8,30,0.5221133754000923,0.004587937179774332,0.5204716333333334,1,7,True,3,1
17,64,1024,128,0.5436852228700332,1,128,256,16,RS,False,True,True,True,False,26,1,30,0.5449598437966335,0.001780998628734887,0.5443225333333334,28,19,True,1,32
18,1,1,64,0.3297954143776861,1,64,128,512,RS,False,True,True,False,True,17,1,30,0.3454203856223138,0.02183241446923969,0.33760789999999996,1,20,True,14,32
19,1024,2048,1024,0.7941827038276846,1,64,16,32,RS,False,False,True,False,True,7,8,30,0.8036360961723151,0.013209008616849332,0.7989093999999999,18,1,True,22,1
20,1,1,256,0.2556727772876345,1,64,16,128,RS,True,False,True,True,False,13,8,30,0.2675434227123654,0.016586580984538874,0.26160809999999995,18,1,True,26,8
21,256,1024,256,0.28811839979020687,1,128,16,128,RS,False,True,False,True,True,19,1,30,0.29438426687645997,0.008755152575610674,0.2912513333333334,1,24,True,13,8
22,64,1024,1,0.9140418182675106,1,512,1,32,RS,False,False,False,True,True,22,8,30,0.9259217150658227,0.016599507716964248,0.9199817666666666,28,1,True,11,1
23,1,512,64,0.2545729544590095,1,1,256,1,RS,False,True,False,True,False,30,1,30,0.26987324554099046,0.021378746313960195,0.2622231,5,11,True,1,8
24,512,2048,512,0.37225680573928416,8,64,16,16,RS,False,False,False,False,False,24,1,30,0.3831376609273825,0.015203569755561428,0.3776972333333333,1,28,True,23,8
25,2048,1024,512,0.5087968299083597,8,32,64,128,RS,True,False,False,False,False,11,8,30,0.51892817009164,0.014156289605095445,0.5138624999999999,28,19,True,1,1
26,1,2048,128,0.5276741826149036,1,128,1,32,RS,True,False,False,False,True,20,1,30,0.5467226840517632,0.026616034799450412,0.5371984333333334,23,9,True,1,1
27,512,1024,1024,0.4902767324506023,1,16,1,128,RS,True,False,False,False,False,2,32,30,0.5057726675493976,0.021652115217918082,0.4980247,1,14,True,9,1
28,2048,256,256,0.6555316207122844,1,16,16,128,RS,True,True,True,False,False,23,1,30,0.6573869126210489,0.002592356893296567,0.6564592666666667,1,22,True,4,32
29,1,256,64,0.19746289698085392,1,1,64,128,RS,True,True,True,False,False,22,1,30,0.2001664363524794,0.0037775936461662395,0.19881466666666667,1,27,True,24,8
30,256,1,1,0.8050617409082373,32,32,16,1,RS,True,True,False,False,False,2,1,30,0.8113154590917627,0.008738177192069306,0.8081886,7,1,True,14,1
31,128,1024,512,0.21430995524517005,1,32,16,128,RS,True,False,False,False,True,17,1,30,0.2276997114214966,0.018709199646311857,0.22100483333333332,1,29,True,26,8
32,256,1,128,0.35271605382926874,8,16,64,1,RS,True,True,True,False,False,13,1,30,0.3540020128373981,0.0017968410703849776,0.3533590333333334,13,16,True,1,8
33,256,1024,256,inf,1,1,512,16,RS,False,False,True,True,False,17,32,1,inf,inf,inf,7,22,False,1,1
34,256,512,256,0.27590593494079735,8,1,16,64,RS,False,False,True,False,False,1,1,30,0.2775116650592027,0.0022436499192164555,0.27670880000000003,1,14,True,29,1
35,1024,2048,256,0.4555184437153097,1,256,256,32,RS,True,True,True,False,True,27,1,30,0.45887995628469036,0.004696964526159423,0.45719920000000003,1,30,True,10,1
36,1024,2048,1,0.32937083429608416,8,256,128,128,RS,True,True,True,False,True,5,8,30,0.3322762990372492,0.004059739340428425,0.3308235666666667,24,17,True,1,1
