id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,T1_I,T1_J,T1_K,technique,speedup,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,points
1,32,1,1024,1,64,512,32,512,11,1,1,1,DLMT,1.5959141559703698,8,False,False,False,1,64,True,1,9,24,64,1,1,1,2,0.0443253057142857,8,True,214
2,32,1,2048,1,128,256,16,256,24,64,64,128,DLMT,0.9098710459044039,1,True,False,True,256,256,False,1,10,26,512,1,2048,1,1,0.07774660285714284,32,False,231
3,1,1,1,1,512,256,1,1024,5,1,16,1,DLMT,1.605990561163646,1,False,False,True,64,1024,True,1,1,24,1,1,1,1,10,0.04404719714285713,8,True,248
4,1,1,1024,1,16,32,16,1024,2,16,1,16,DLMT,2.3801385181756443,1,False,False,False,1,512,True,2,1,11,512,1,1,1,7,0.029720700000000003,1,True,234
