id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,1,512,1,512,28,2,1,DLMT,29,1.432840676982154,1024,1024,1,108,8,0.11208173333333335,1
2,8,512,1,256,2,1,11,DLMT,27,1.4562017343154465,2048,2048,1,137,1,0.11028366666666668,8
3,8,1,256,512,1,3,24,DLMT,8,1.4636862648833755,1,1,2048,144,8,0.10971973333333332,1
4,1,512,512,1,1,29,25,DLMT,25,1.785667876889507,1,2048,1024,133,8,0.08993568666666668,8
5,1,512,16,1,1,30,7,DLMT,9,1.7219025418039189,1,1,2048,120,1,0.09326617666666663,1
6,8,512,256,512,30,1,10,DLMT,8,1.3706776718618148,1,1,2048,138,1,0.11716486666666667,1
7,1,512,512,1,1,11,5,DLMT,19,1.6803968811221586,1,1,512,128,1,0.09556984333333332,1
8,8,1,1,128,29,1,10,DLMT,28,1.5040422717639106,2048,1,1,139,1,0.1067757666666667,8
9,1,1,512,1,1,30,30,DLMT,30,1.7165332858190898,1,1024,1,132,8,0.09355790999999997,8
10,8,512,1,512,22,16,1,DLMT,22,1.5034415096270837,1,1024,1,144,8,0.10681843333333331,1
11,1,1,512,1,1,29,5,DLMT,7,1.4453714201027745,1,2048,1,144,1,0.11111003333333334,32
12,1,1,1,1,1,22,3,DLMT,1,1.5771166655536828,1,2048,1024,144,1,0.1018284,1
13,1,512,512,1,30,4,1,DLMT,28,1.4326664111302836,2048,2048,2048,113,8,0.11209536666666671,8
14,1,16,256,1,29,27,1,DLMT,14,1.4366758551425443,2048,2048,1,144,8,0.11178253333333334,8
15,1,256,512,1,1,30,5,DLMT,4,1.7505025758180155,1,1,1,144,8,0.09174237666666668,8
16,1,1,16,1,1,13,8,DLMT,1,1.654484544193243,1,1,1,144,1,0.0970666466666667,1
17,8,512,16,256,30,24,1,DLMT,2,1.494580048784679,1,1,1024,141,8,0.10745176666666668,1
18,8,512,512,1,1,8,10,DLMT,16,1.5124466601977158,1,1024,2048,144,8,0.10618243333333334,1
19,8,512,16,512,4,2,1,DLMT,18,1.462142207687368,1024,1,1,132,8,0.10983559999999996,1
20,8,256,512,1,1,14,7,DLMT,30,1.4644105528206377,1,2048,1,135,8,0.10966546666666671,1
