id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
579,1,512,128,32,0.18265756294706761,64,1024,RS,1024,True,False,False,True,9,13,True,1,3,8,35,1,8,0.18617734285714288,0.010624327248463735,True,True,8,8,128,0.18969712276721815,17
580,64,64,32,32,0.3251148280716648,512,512,RS,1024,False,False,False,False,1,8,False,22,15,32,35,1,1,0.3255905142857142,0.001435841482922694,True,False,1,1,64,0.32606620049976365,20
581,16,32,256,128,0.11894402012079787,128,512,RS,512,False,False,True,True,6,8,True,1,2,1,35,1,1,0.12282917142857144,0.011727187482782332,True,True,8,1,1,0.12671432273634503,5
582,1,1,16,1,0.12347991065413572,256,1024,RS,1024,False,False,True,False,19,24,True,1,3,1,35,1,32,0.12638437142857142,0.008767008885868541,True,True,8,8,2048,0.12928883220300713,29
583,512,1,64,32,0.5161864474755132,2048,64,RS,128,False,False,False,True,1,14,False,6,18,8,35,1,1,0.5183955428571428,0.006668073816297464,True,False,32,1,1,0.5206046382387725,20
584,128,128,32,512,1.1640821531665777,1,256,RS,128,True,True,False,True,12,19,False,1,8,8,35,1,1,1.1658474285714286,0.0053284194080191385,True,False,8,8,1024,1.1676127039762796,9
585,1,256,128,512,1.3579731416347431,64,256,RS,1,True,False,True,False,29,5,False,1,24,1,35,1,32,1.3603882857142857,0.007290024293792265,True,False,1,8,1,1.3628034297938283,5
586,64,16,1,256,0.12172320695162225,128,1024,RS,2048,True,True,False,False,1,11,True,4,18,1,35,1,8,0.12472628571428572,0.009064683685510893,True,True,32,1,1,0.1277293644769492,10
587,64,1,16,64,0.19398398918405707,2048,2048,RS,2048,False,True,False,False,1,16,True,20,28,1,35,1,1,0.19812794285714286,0.012508372980739986,True,True,1,8,64,0.20227189653022865,26
588,32,256,256,32,0.17164362712027467,128,1024,RS,1,False,True,False,False,1,19,True,22,17,8,35,1,8,0.17611585714285716,0.013499263165379187,True,True,8,8,1,0.18058808716543964,10
589,128,32,1,64,0.14766733944689855,512,1,RS,512,False,True,True,False,14,13,True,1,23,32,35,1,1,0.15233180000000002,0.014079504008715243,True,True,1,1,2048,0.15699626055310148,21
590,1,64,32,128,0.34966004572883747,1024,2048,RS,128,False,False,True,False,10,13,False,1,22,8,35,1,1,0.35136259999999997,0.005139097954199467,True,False,1,32,512,0.3530651542711625,26
591,16,16,16,16,0.23783351489495638,64,512,RS,2048,True,True,True,True,1,14,True,20,15,1,35,1,8,0.23819837142857148,0.0011013061358668432,True,False,1,8,1,0.23856322796218657,27
592,32,64,512,16,1.0868309631122655,64,256,RS,512,False,True,True,False,17,26,False,1,13,32,35,1,1,1.0879914285714287,0.003502822651892647,True,False,32,1,1,1.089151894030592,25
593,128,256,64,16,1.2439957922466525,2048,1,RS,1,True,False,True,True,1,17,True,1,5,32,35,1,1,1.247502857142857,0.010585947442969198,True,False,8,8,64,1.2510099220390616,24
594,64,128,1,16,1.2792019694910293,1,512,RS,1024,False,False,True,False,26,29,False,1,1,1,35,1,1,1.2818351428571428,0.007948137741069948,True,False,1,1,2048,1.2844683162232564,16
595,128,64,128,32,0.2027705312159187,1,1,RS,1,False,False,True,True,1,18,False,2,1,32,35,1,1,0.20852697142857146,0.01737560477300733,True,True,8,1,1,0.21428341164122422,9
596,128,32,16,64,0.3441120156309461,1,512,RS,512,True,False,True,True,1,1,True,12,30,1,35,1,1,0.3441994857142857,0.0002640252554400868,True,False,8,1,1024,0.3442869557976253,15
597,32,64,1,256,0.329835481378752,64,1024,RS,1024,False,True,False,True,28,19,True,1,7,8,35,1,8,0.3312258857142857,0.004196884761489699,True,False,8,1,1,0.33261629004981935,10
598,64,1,512,1,0.2644867341238272,2048,1024,RS,2048,False,False,False,False,21,12,True,1,4,1,35,1,1,0.2661764,0.005100194804122679,True,False,1,1,64,0.26786606587617273,18
599,256,16,64,32,0.12790380667282725,256,64,RS,1024,True,False,False,False,1,26,True,19,13,1,35,1,8,0.13098217142857144,0.009291931709009596,True,True,32,1,1,0.13406053618431563,2
600,16,1,256,1,0.12804470282692912,1,512,RS,1,False,False,True,True,22,15,True,1,17,1,35,1,8,0.1313192857142857,0.00988420898076878,True,True,1,32,2048,0.13459386860164227,20
601,512,32,1,512,0.12303739373155784,512,2048,RS,128,True,False,True,True,1,12,True,8,27,1,35,1,1,0.12569317142857142,0.008016368089230987,True,True,1,8,1024,0.128348949125585,4
602,16,64,512,256,0.10463537899082491,1024,128,RS,1024,False,True,False,False,1,11,True,5,20,1,35,1,8,0.10835034285714286,0.011213482899598672,True,True,32,1,2048,0.11206530672346081,16
603,16,64,128,256,0.4616356576832571,64,128,RS,512,True,False,False,True,1,11,True,14,2,32,35,1,1,0.4635717714285714,0.005844088706111325,True,False,1,32,1024,0.46550788517388575,28
604,128,32,16,512,0.15620997028687394,128,256,RS,64,False,False,True,False,1,4,False,20,15,1,35,1,8,0.15960059999999998,0.010234492090684605,True,True,8,1,2048,0.16299122971312602,29
605,16,128,256,32,0.13143532021877977,1,1024,RS,512,True,True,True,False,1,10,False,15,13,1,35,1,1,0.13419979999999998,0.00834448136469333,True,True,32,1,128,0.1369642797812202,15
