id,speedup,T2_J,T2_I,T4_I,T4_J,T2_Ja,T2_Ia,technique,T4_Ia,VEC4,points,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,U2_I,RT2_J,cost_mean,OMP,RT4_J,RT4_I,T4_Ja,U3_I
1,3.1413187452972826,64,64,32,128,1,512,RS,64,False,250,True,False,True,1,6,False,1,26,32,1,1,0.11346022857142854,True,8,8,512,25
2,3.26877100709043,64,128,16,64,256,512,RS,512,True,250,True,True,False,1,5,True,20,17,1,1,1,0.1090363142857143,True,32,1,1024,30
3,3.289465759486027,16,64,512,256,1024,128,RS,1024,False,250,True,False,False,1,11,True,5,20,1,1,8,0.10835034285714286,True,32,1,2048,16
4,3.074718938834504,1,512,64,32,1024,512,RS,1,True,250,True,False,False,1,17,True,4,8,1,1,8,0.1159178285714286,True,32,1,64,28
5,3.134773869119432,1,128,1,1,64,512,RS,512,True,250,False,True,True,1,6,False,4,15,32,1,1,0.1136971142857143,True,32,1,1024,24
6,3.165283699082628,128,512,512,128,256,2048,RS,512,True,250,True,True,False,12,5,True,1,26,1,1,1,0.11260119999999998,True,32,1,256,25
7,3.13048414345125,128,512,1,512,128,512,RS,512,True,250,False,True,False,1,6,False,6,29,1,1,1,0.11385291428571427,True,1,1,1,27
