id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,speedup,U1_J,U1_I,U8_I,U7_I,U7_J,U2_I,cost_mean,U9_I,RT3_I,RT3_J,points,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,32,1024,DLMT,8,1,True,1,16,True,16,512,1,False,16,64,2048,256,True,True,True,512,False,32,False,64,True,8,8,256,True,1,4,1.5194992823576003,1,8,16,1,8,4,0.07613620857142857,16,1,32,356,1,1024,8,2048,True,8,32,1,1
2,32,1024,DLMT,1,1,True,1,256,True,64,256,1,True,512,64,1024,1024,True,True,False,16,True,512,False,1024,True,4,12,1024,True,1,4,1.5571183992542652,1,4,16,4,1,4,0.0742968,16,8,8,247,1024,1024,4,512,True,1,32,1,1
3,16,1,DLMT,8,8,True,1,512,False,64,32,1,False,256,32,1,1,False,False,False,1,True,512,False,2048,True,16,1,1024,True,8,1,1.486556489529887,1,16,16,1,8,16,0.07782342285714287,1,1,32,290,1,1024,12,1024,True,1,1,8,4
4,1,256,DLMT,32,1,False,1,16,True,16,64,1,False,32,128,2048,2048,True,True,False,512,False,32,True,1,True,16,16,1,True,1,8,1.5395071120485706,16,1,16,1,4,16,0.07514672285714284,1,1,32,335,1,1024,4,1,True,8,8,8,1
5,32,512,DLMT,8,1,True,1,1,True,128,64,8,False,32,64,1024,1024,True,True,True,512,True,16,True,2048,True,4,16,2048,False,16,1,1.4845722960660506,4,1,16,16,1,1,0.07792743714285716,16,1,32,318,1024,256,16,128,True,4,1,1,1
6,16,1,DLMT,1,1,True,1,128,True,1,512,32,False,16,16,512,1,True,True,True,1,False,512,True,1024,False,1,4,512,True,1,4,1.4826815573723666,1,8,1,4,1,8,0.07802681142857144,16,1,1,322,2048,1,16,2048,True,16,32,1,1
7,512,512,DLMT,8,1,True,8,32,True,64,512,8,True,64,16,2048,64,True,True,True,64,False,64,True,64,False,12,8,2048,False,1,4,1.4651003853661035,16,1,12,1,8,16,0.07896313142857143,1,1,32,352,1,1,16,512,True,1,32,1,8
8,64,1,DLMT,8,1,False,1,128,False,128,128,1,False,128,16,1,256,True,True,False,1,True,256,False,1024,False,16,12,1024,True,16,1,1.4941518800829605,1,4,16,8,1,16,0.07742781428571427,12,1,8,343,256,1,4,2048,True,1,8,1,16
