id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
28,True,30,0.20774857962780485,1,64,1,32,7,19,1,14,1024,2048,2048,0.20183308703886182,0.008265582314970647,1,0.20479083333333334,32
29,True,30,0.2452512400609607,1,64,512,16,5,5,1,24,256,1024,512,0.24045015993903932,0.006708439297631008,32,0.2428507,1
30,True,30,0.1555748581983034,1,256,1,1,14,1,29,12,1024,512,1024,0.15234280846836323,0.004516069065631696,1,0.15395883333333332,8
31,True,30,0.22191994327995487,8,64,256,32,25,14,1,6,64,1024,512,0.21979585672004517,0.0029679375032728257,1,0.22085790000000002,8
32,True,30,0.1150558948211094,1,512,32,256,10,1,5,26,256,1,1024,0.1116349051788906,0.004780070477862575,8,0.1133454,8
33,True,30,0.11531043684027747,1,1,32,128,3,18,1,14,2048,512,1024,0.11209516315972251,0.004492628276039168,8,0.11370279999999999,8
34,True,30,0.2156339202522762,8,64,512,256,19,10,1,18,256,512,512,0.21128781308105712,0.006072716013631975,1,0.21346086666666667,8
35,True,30,0.11706910703031276,1,16,1,32,19,1,17,27,512,2048,512,0.11594849296968726,0.0015658083620503074,8,0.11650880000000001,8
36,True,30,0.12403949691809336,8,512,64,128,30,1,11,2,128,1,512,0.11967263641523997,0.006101714168621432,1,0.12185606666666667,1
37,True,30,0.19764810808737893,1,128,32,64,27,7,1,22,512,2048,128,0.1913884252459544,0.008746511471946338,1,0.19451826666666666,32
38,True,30,0.12324709348985108,1,1,16,64,30,1,9,1,2048,1,1,0.12215097317681559,0.0015315838095107815,8,0.12269903333333333,1
39,True,30,0.22506805285605877,8,32,32,32,18,4,1,10,1024,1024,128,0.21954448047727457,0.00771796118126773,1,0.22230626666666667,8
40,True,30,0.31234487023856017,1,32,32,512,21,30,1,24,1,512,512,0.30993946309477316,0.0033610203121803447,32,0.31114216666666666,1
41,True,30,0.21912214144990458,1,16,32,16,3,13,1,11,256,1024,512,0.21287665855009544,0.008726670218741316,1,0.2159994,8
42,True,30,0.13705744660332336,1,1,1,32,19,1,7,25,1,512,1024,0.1355671533966767,0.0020823525662096703,1,0.13631230000000003,32
43,True,30,0.13327514940256802,1,64,16,64,23,1,28,19,512,64,64,0.1284715839307653,0.006711912020099458,8,0.13087336666666666,1
44,True,30,0.20603318147668728,1,256,128,64,9,1,28,23,128,1024,2048,0.20535761852331277,0.0009439486426707764,32,0.20569540000000003,1
45,True,30,0.12142670241156721,1,64,16,128,20,12,1,5,128,2048,1,0.11789096425509944,0.004940405948794985,8,0.11965883333333333,8
46,True,30,0.12387278020864331,1,512,1,1,18,1,26,28,1024,128,512,0.12001528645802331,0.005389987671496929,8,0.12194403333333331,1
47,True,30,0.1224395632789435,1,256,1,512,28,1,23,7,1,512,256,0.12092910338772318,0.0021105310126969365,8,0.12168433333333334,1
48,True,30,0.2699882898861805,1,128,32,1,1,12,23,20,1,256,1,0.2690801767804861,0.0012688856445278642,32,0.2695342333333333,1
49,True,30,0.22865801730660784,1,64,64,32,22,1,3,23,64,256,128,0.22367151602672553,0.006967524035042068,32,0.22616476666666668,1
50,False,1,inf,1,1,256,256,28,18,1,25,512,2048,512,inf,inf,8,inf,1
51,False,1,inf,8,32,32,128,11,22,1,6,1,128,128,inf,inf,1,inf,8
52,True,30,0.11952493779051747,8,128,128,128,30,1,27,15,2048,1024,1024,0.11555819554281586,0.005542638094405547,8,0.11754156666666667,1
53,True,30,0.18729537783379904,1,32,1,128,20,15,1,14,1,256,128,0.18097035549953425,0.008837808848854385,1,0.18413286666666664,32
54,True,30,0.12660048061640802,8,32,256,16,1,26,3,2,2048,512,1024,0.12648351938359195,0.0001634272519094259,1,0.126542,8
55,True,30,0.2012687465212394,32,1,64,128,15,17,1,9,256,128,64,0.19603238681209398,0.007316645495869141,1,0.1986505666666667,1
56,True,30,0.2535761794772482,1,512,16,16,19,10,1,21,64,256,512,0.2451541538560852,0.011767903515022923,1,0.2493651666666667,8
57,True,30,0.24101878342237568,1,128,16,32,26,30,1,17,256,64,256,0.23893514991095763,0.0029114133850913185,32,0.23997696666666665,1
58,True,30,0.2470442181658754,32,128,64,16,29,16,1,16,2048,256,1024,0.24090178183412453,0.008582685609217358,1,0.24397299999999997,1
59,True,30,0.20238402983119638,1,1,64,256,16,1,25,22,1,2048,1024,0.20134517016880352,0.0014515748137798469,32,0.20186459999999995,1
60,True,30,0.12739450729859297,1,512,512,16,1,3,4,30,512,1,1024,0.1241551593680737,0.004526266674153828,1,0.12577483333333334,8
61,True,30,0.11609737952360324,1,256,128,512,24,7,1,4,512,2048,2048,0.11189008714306342,0.00587875328582137,8,0.11399373333333333,8
62,True,30,0.22178817581877341,8,32,1,64,14,25,1,1,64,1024,256,0.21689942418122654,0.006830940698517787,1,0.21934379999999998,8
63,True,30,0.14945091327213342,1,512,64,256,1,30,2,1,1,2048,2048,0.1487764867278666,0.0009423607642511454,1,0.14911370000000002,32
64,True,30,0.20871442360757897,1,32,64,512,27,5,1,4,2048,512,256,0.20373044305908777,0.006964001874800308,1,0.20622243333333337,8
65,True,30,0.11627211081211627,1,32,64,32,3,1,6,9,256,64,1,0.11556222252121703,0.0009919106506580567,8,0.11591716666666665,8
66,True,30,0.1456457962245613,8,512,1,32,1,2,24,26,2048,512,1024,0.14307840377543862,0.0035873586694577025,1,0.14436209999999997,1
67,True,30,0.12515144831891162,1,128,32,256,24,1,7,15,256,512,1,0.12099515168108836,0.005807498102453416,8,0.1230733,1
68,True,30,0.4202695175881463,1,16,64,1,1,1,1,26,256,2048,256,0.4176958824118537,0.0035960814891582557,32,0.4189827,1
69,True,30,0.11864703553872295,8,64,64,256,1,1,18,22,2048,256,512,0.11750089779461038,0.0016014720204306481,8,0.11807396666666667,1
70,True,30,0.13267942958270848,1,64,1,32,1,27,11,18,2048,1,512,0.13178017041729154,0.0012565142365555037,8,0.1322298,1
71,True,30,0.11721014955629733,1,64,128,256,1,16,19,7,2048,128,128,0.11613278377703601,0.0015053785289938053,8,0.11667146666666667,8
72,True,30,0.11539145808258496,1,256,1,64,14,17,1,26,1024,64,1,0.11123567525074839,0.0058067801731156365,8,0.11331356666666667,1
73,True,30,0.2849846791123526,1,32,16,64,1,15,5,7,512,512,128,0.2831059208876474,0.0026251458391233504,32,0.2840453,1
74,True,30,0.16594332224034494,1,16,256,32,1,28,11,22,2048,256,1,0.16179274442632172,0.005799507320933009,1,0.16386803333333333,32
75,True,30,0.14536187032339098,32,128,64,256,1,17,21,2,512,1,256,0.14200919634327563,0.004684614567804792,1,0.1436855333333333,1
76,True,30,0.12292659149485949,1,512,16,256,1,27,23,3,1,128,512,0.11990494183847389,0.004222081861541242,8,0.12141576666666669,8
77,True,30,0.3589510696045805,1,16,64,512,23,1,23,25,1,64,2048,0.3526675303954195,0.008779845428214177,32,0.3558093,1
78,True,30,0.12253907709075221,1,16,1,256,1,9,9,15,1,1,256,0.11885825624258112,0.005143126671155936,8,0.12069866666666666,1
79,True,30,0.11861052821636316,8,16,32,1,7,1,27,4,512,512,1024,0.11437133845030352,0.005923322772078375,8,0.11649093333333334,1
80,True,30,0.1643212581099648,1,1,16,32,19,1,25,13,1,1024,256,0.16292827522336853,0.001946383084652715,1,0.16362476666666667,1
81,True,30,0.12838793573056748,8,128,128,128,1,8,24,13,256,256,2048,0.12735706426943252,0.001440413083111923,1,0.1278725,8
82,True,30,0.11568073819260757,1,1,256,1,19,1,7,17,128,1024,2048,0.11492706180739243,0.001053094751988949,8,0.1153039,8
83,True,30,0.30651548218090613,1,1,1,256,10,28,1,30,1,512,2048,0.30215098448576055,0.006098412671525455,32,0.30433323333333334,1
84,True,30,0.11464791734430128,1,512,1,32,9,1,30,3,256,128,1024,0.11400901598903208,0.00089272223128038,8,0.11432846666666668,8
85,True,30,0.11106103681222312,8,32,128,256,14,21,1,22,1024,1,1,0.11025229652111024,0.0011300342865988137,8,0.11065666666666668,1
86,True,30,0.21766534682956096,8,256,512,512,17,19,1,10,1024,2048,1,0.21180085317043906,0.008194322678334474,1,0.2147331,8
87,True,30,0.23538876070410222,8,64,16,16,14,29,1,23,128,128,64,0.22935770596256447,0.00842705466412923,1,0.23237323333333335,8
88,True,30,0.12503205921517627,1,1,256,32,9,1,30,4,1024,1024,2048,0.12466547411815707,0.0005122209603503383,8,0.12484876666666667,1
89,True,30,0.14317276422864225,8,32,1,1,1,22,24,4,1024,128,1024,0.14228136910469116,0.001245525991521477,1,0.1427270666666667,8
90,True,30,0.11994793841426918,1,128,64,512,1,15,5,2,1,1,512,0.11656086158573087,0.0047326848799950074,8,0.11825440000000002,8
91,True,30,0.2599253276340797,32,128,256,32,9,1,28,13,128,1024,1,0.2545871390325869,0.007458928675010163,1,0.2572562333333333,1
92,True,30,0.22626734061026457,1,64,64,512,26,1,6,15,1,1,1,0.2236062593897354,0.0037182678440370615,32,0.2249368,1
93,True,30,0.12266860867379449,1,256,64,16,1,28,16,22,2048,2048,2048,0.11912639132620552,0.004949459174158996,8,0.1208975,8
94,True,30,0.13300415592404785,1,64,16,16,19,1,18,28,128,256,2048,0.12951431074261882,0.0048762807458371605,8,0.13125923333333334,1
95,True,30,0.12072321616646446,8,256,32,64,5,1,4,14,128,64,2048,0.1171034505002022,0.0050578156637909304,1,0.11891333333333333,8
96,True,30,0.38257175537992266,8,16,32,1,9,1,17,12,1024,256,512,0.37861464462007727,0.00552918023700922,1,0.38059319999999996,1
97,True,30,0.120694099222611,1,32,16,16,23,17,1,19,128,512,128,0.11950430077738901,0.0016624781181517347,8,0.1200992,8
98,True,30,0.21419066337616466,8,512,64,128,20,9,1,29,512,256,2048,0.2085107366238353,0.007936431566516529,1,0.21135069999999997,8
99,True,30,0.11219111566323893,1,16,1,128,21,1,30,1,512,1024,64,0.11165455100342776,0.0007497295104828743,8,0.11192283333333335,8
100,True,30,0.12218422224091167,1,32,32,16,9,1,16,8,128,2048,1024,0.12206251109242165,0.0001700642002957182,1,0.12212336666666666,8
101,True,30,0.11331214414642635,1,512,32,1,24,1,24,9,256,2048,512,0.11221925585357365,0.0015270677817307262,8,0.1127657,8
102,True,30,0.19181172884801642,1,32,256,32,3,16,1,9,128,512,1024,0.19039813781865036,0.0019751783705669605,1,0.1911049333333334,1
103,True,30,0.14053090968529472,8,128,32,256,1,11,25,21,256,256,128,0.13960209031470525,0.0012978180342405477,1,0.14006649999999998,1
104,True,30,0.1434179405801456,8,128,32,32,5,1,4,10,128,256,512,0.13890565941985436,0.006304907122762925,1,0.14116179999999998,1
105,True,30,0.22037194248691946,8,16,128,256,1,17,23,4,512,128,1024,0.21463685751308056,0.008013502886170733,1,0.21750440000000001,1
106,True,30,0.12251558496677203,8,128,32,256,29,1,12,10,256,256,512,0.11959128169989461,0.004086061980956997,1,0.12105343333333332,8
107,True,30,0.11679075967816718,1,128,256,1,8,4,1,3,256,2048,1024,0.11312984032183279,0.005115318772406402,8,0.11496029999999999,1
108,True,30,0.23127628780703074,1,128,16,16,11,30,1,17,64,64,2048,0.2264879121929692,0.006690687579763387,1,0.22888209999999998,32
109,True,30,0.11792399658392977,1,256,32,32,5,2,1,14,128,2048,256,0.11372213674940357,0.005871162513695411,8,0.11582306666666667,1
110,True,30,0.20243267985061983,8,16,32,1,1,30,19,20,2048,128,128,0.19914512014938016,0.004593631877211463,1,0.2007889,8
111,True,30,0.11462395257258881,8,1,256,1,1,27,8,18,2048,2048,512,0.11300264742741117,0.0022654125474182414,1,0.11381329999999999,1
112,True,30,0.21828361444648078,8,32,32,32,21,15,1,3,2048,128,1024,0.21102191888685254,0.010146600894497733,1,0.21465276666666666,1
113,True,30,0.3178409822339705,1,16,32,16,20,2,1,23,128,128,2048,0.3094362844326961,0.011743691749142977,1,0.3136386333333333,1
114,True,30,0.20840450155242818,1,128,256,128,15,21,1,5,1024,512,512,0.20232523178090517,0.008494424421282993,1,0.20536486666666667,8
115,True,30,0.12275304737762423,8,512,128,32,12,1,11,28,256,256,1,0.12135795262237577,0.0019493339503532997,1,0.1220555,1
116,True,30,0.12235872031215429,8,64,1,16,1,27,24,13,256,512,128,0.11755141302117901,0.006717140378332301,8,0.11995506666666665,1
117,True,30,0.1172297153738858,1,16,16,512,25,1,12,19,2048,256,128,0.11347961795944753,0.005239925230594634,8,0.11535466666666666,8
118,True,30,0.19821786999354638,1,1,16,256,6,25,1,7,2048,1024,256,0.19159239667312025,0.009257622130739381,1,0.1949051333333333,32
119,True,30,0.1560604194187855,1,16,512,64,1,15,11,6,256,2048,128,0.15074298058121444,0.0074299355051036615,32,0.15340169999999997,1
120,True,30,0.12409103026395814,1,128,16,64,1,11,14,13,128,1,256,0.12051470306937524,0.004997120082162882,8,0.12230286666666669,1
121,True,30,0.12611110068007028,1,64,256,64,6,1,8,27,1,1,64,0.12271129931992979,0.004750464576579153,1,0.12441120000000003,32
122,True,30,0.1264040500573404,1,16,1,16,13,1,8,11,2048,1,512,0.1231799499426596,0.004504961250295799,1,0.124792,1
123,True,30,0.1967775554848354,1,256,64,16,3,1,2,19,256,256,2048,0.19327444451516462,0.004894816727927616,32,0.195026,1
124,True,30,0.1806109136168935,1,32,16,512,14,1,3,9,1,128,1,0.1766366863831065,0.00555309669403778,1,0.1786238,1
125,True,30,0.1189858239157903,8,128,16,32,26,1,24,12,2048,1,256,0.11878124275087634,0.0002858565763144553,8,0.11888353333333332,1
126,True,30,0.15938183018808869,32,1,1,32,25,1,21,19,2048,1024,2048,0.15914416981191135,0.0003320774006161831,1,0.15926300000000002,1
127,True,30,0.11899116772220986,1,1,128,16,21,1,9,9,128,2048,64,0.1148790989444568,0.005745699526505794,8,0.11693513333333333,8
128,True,30,0.37564035451277444,1,16,512,128,29,1,20,17,512,1024,64,0.3696772454872256,0.008332115671304619,1,0.3726588,1
129,True,30,0.12123298939247969,1,64,32,32,7,6,1,22,256,1,2048,0.11728667727418692,0.005514091542483576,8,0.1192598333333333,8
130,True,30,0.208728860134537,1,64,32,64,10,1,28,4,1024,2048,1,0.20473507319879636,0.005580427017611545,32,0.20673196666666668,1
131,True,30,0.1259922403339289,8,256,64,32,18,1,18,30,64,1024,2048,0.12137629299940447,0.006449757493804618,1,0.12368426666666668,8
132,True,30,0.2537187705131843,1,64,512,128,1,9,27,14,256,1,2048,0.250569562820149,0.004400315784754038,32,0.25214416666666667,1
133,True,30,0.20632046234402926,8,128,64,512,7,1,1,26,2048,64,1,0.20103787098930406,0.007381243915417568,1,0.20367916666666666,8
134,True,30,0.18974854350712403,1,64,16,1,6,26,1,24,2048,1,1,0.1861457898262093,0.005034045206281812,1,0.18794716666666667,1
135,True,30,0.12186042473244009,8,64,512,16,1,28,7,28,512,512,2048,0.12072397526755992,0.0015879348097450356,1,0.1212922,1
136,True,30,0.12235536167187372,1,256,16,64,16,6,1,21,1,1024,1,0.11918397166145966,0.004431310628796957,8,0.12076966666666669,1
137,True,30,0.12040003181372344,1,1,512,256,25,1,13,28,2048,1,128,0.1165405015196099,0.005392833287078531,8,0.11847026666666667,1
138,True,30,0.10942256254612978,8,1,16,32,1,18,10,27,2048,2048,1,0.10858550412053694,0.001169602567351644,1,0.10900403333333336,8
139,True,30,0.18218181224776822,32,64,16,256,2,1,18,4,2048,1024,64,0.1804451877522318,0.002426545634573286,1,0.18131350000000002,1
140,True,30,0.2636977916382612,1,1,256,16,25,22,1,3,256,1,256,0.2575656750284055,0.008568266098160637,1,0.26063173333333334,8
141,True,30,0.15495149414574605,1,256,32,1,30,1,25,4,512,1024,1,0.15161490585425397,0.004662138403493974,1,0.1532832,32
142,True,30,0.11709574038173044,1,64,32,1,1,2,9,11,1,1,128,0.11353019295160295,0.004982057764172907,1,0.1153129666666667,8
143,True,30,0.1702960192647099,32,1,32,512,4,1,14,7,1024,64,64,0.16846478073529006,0.0025587476572208785,1,0.1693804,1
144,True,30,0.11024616191613916,8,256,128,64,1,15,19,1,128,2048,512,0.10904377141719417,0.001680072706429365,8,0.10964496666666666,1
145,True,30,0.21222650182436406,8,64,32,512,22,26,1,8,2048,64,64,0.2096872981756359,0.0035479711042603855,1,0.21095689999999997,8
146,True,30,0.11428505116327849,1,128,128,512,18,26,1,13,2048,2048,256,0.11164668217005487,0.0036865325689897583,8,0.11296586666666668,8
147,True,30,0.2807996261879582,8,16,1,512,14,2,1,29,512,1024,512,0.27310584047870845,0.010750350564619846,1,0.2769527333333333,1
148,True,30,0.1166197446961568,8,16,1,1,22,1,4,17,2048,512,128,0.11330732197050986,0.00462837241179037,1,0.11496353333333333,8
149,True,30,0.11989950394963064,8,1,32,1,2,1,4,3,1024,1024,256,0.11884222938370267,0.0014773055367421088,8,0.11937086666666666,1
150,True,30,0.13721730709128274,1,512,16,16,17,1,7,13,256,64,512,0.13365102624205064,0.004983082553890605,1,0.1354341666666667,1
151,True,30,0.1539309621692431,1,128,16,512,1,12,23,14,1024,512,256,0.15238783783075685,0.0021561722967641844,1,0.15315939999999997,1
152,True,30,0.18504775166055873,1,1,1,1,1,1,1,1,1,1,1,0.18016258167277463,0.006825936141332962,1,0.18260516666666668,1
153,True,30,0.11964537461164325,8,32,32,16,11,1,13,8,1024,1,256,0.11949102538835675,0.00021566863471538992,8,0.1195682,1
154,True,30,0.1151068503638598,8,16,256,512,3,1,14,23,1024,512,512,0.11132788296947353,0.005280264592381291,8,0.11321736666666667,1
155,True,30,0.1988454767551701,8,16,128,1,30,23,1,12,64,128,1,0.19379152324482993,0.007061773491836168,1,0.1963185,1
156,True,30,0.12707413599654868,1,64,128,16,30,1,13,21,2048,256,1,0.122650330670118,0.006181281866427239,8,0.12486223333333334,8
157,True,30,0.11261572881111695,1,256,64,128,22,14,1,16,1,1024,2048,0.11117573785554968,0.0020120663828236116,8,0.11189573333333332,1
158,True,30,0.2052140227038415,8,1,128,1,9,14,1,24,512,512,512,0.19951631062949174,0.007961282589647364,1,0.20236516666666662,8
159,True,30,0.2073983308602094,32,16,32,16,3,1,12,11,128,64,1,0.206584002473124,0.0011378424051198364,1,0.2069911666666667,1
160,True,30,0.12541846442659424,32,256,128,256,1,17,11,3,1024,256,512,0.12476133557340575,0.0009181910966677904,1,0.1250899,1
161,True,30,0.12002511527185125,1,256,256,1,1,20,12,15,512,256,256,0.1183722180614821,0.0023095554165731163,8,0.11919866666666667,1
162,True,30,0.12137715771185213,8,1,32,128,15,1,23,14,512,1024,64,0.11686184228814787,0.006309146829537782,8,0.1191195,1
163,True,30,0.24452253390014783,8,64,32,64,10,3,1,2,2048,2048,2048,0.23886766609985222,0.007901417266752427,1,0.24169510000000002,1
164,True,30,0.32176346800645766,1,32,32,16,23,15,1,28,1024,2048,512,0.3155149986602091,0.008730843111954054,32,0.3186392333333334,1
165,True,30,0.2559402282200625,1,512,16,16,30,17,1,15,1,2048,1,0.24969363844660414,0.008728216827941181,32,0.2528169333333333,1
166,True,30,0.1362814192129635,1,512,32,16,29,1,9,14,1,128,1024,0.1317630474537032,0.006313417377212513,1,0.13402223333333335,1
167,True,30,0.21402724824657018,1,512,256,16,6,18,1,22,64,1,1,0.20731868508676313,0.009373721660341509,1,0.21067296666666666,32
168,True,30,0.28064182068559745,1,64,64,32,1,30,4,14,1024,1,512,0.2756357793144026,0.006994826957116239,32,0.2781388,1
169,True,30,0.11412580188618773,1,128,64,64,19,1,9,3,1024,256,512,0.11039486478047897,0.0052131529700258075,8,0.11226033333333335,8
170,True,30,0.22651201515514358,8,128,1,16,22,13,1,15,512,128,256,0.22102345151152314,0.007669044277410898,1,0.22376773333333336,1
171,True,30,0.15311836844519044,32,512,512,32,1,21,26,26,64,512,512,0.15162269822147628,0.0020898657490109017,1,0.15237053333333336,1
172,True,30,0.1857725137554926,1,128,64,1,14,24,1,16,64,2048,1,0.1842863529111741,0.0020765785109699633,1,0.18502943333333335,1
173,True,30,0.13993449537167374,8,1,64,32,3,1,21,21,128,2048,1,0.13591037129499295,0.005622816409850929,1,0.13792243333333334,1
174,True,30,0.19800299327533785,8,1,128,256,7,13,1,8,1,512,64,0.19241687339132876,0.007805357377824256,1,0.1952099333333333,1
175,True,30,0.10932588336861879,1,128,64,512,14,13,1,25,1,128,1,0.10907764996471453,0.0003468508501102768,8,0.10920176666666666,8
176,True,30,0.25761223602537664,1,16,32,1,1,5,17,24,64,64,256,0.25085249730795667,0.009445228094945909,32,0.25423236666666665,1
177,True,30,0.14005830704208105,32,16,32,1,1,29,2,24,256,2048,64,0.13498035962458554,0.007095299628783993,1,0.1375193333333333,1
178,True,30,0.14611926755315377,1,64,128,64,1,27,2,30,512,1,128,0.1446759991135129,0.002016645936257086,1,0.14539763333333333,8
179,True,30,0.21027882944513973,8,64,128,64,24,18,1,7,64,2048,1,0.2041067705548603,0.008624076531818735,1,0.2071928,8
180,True,30,0.11173831776580843,1,1,1,512,13,1,8,20,1024,1024,128,0.10800228223419157,0.0052202768837805264,1,0.1098703,8
181,True,30,0.20625034743711498,32,32,128,64,2,6,1,26,256,128,128,0.20103391922955158,0.00728879566518975,1,0.20364213333333328,1
182,True,30,0.12156644623267329,1,64,1,128,21,1,9,3,2048,1024,256,0.1178374204339934,0.005210482344488104,1,0.11970193333333334,8
183,True,30,0.11497976936174766,8,256,16,128,9,1,7,8,2048,128,256,0.11102336397158567,0.005528194640105291,1,0.11300156666666666,8
184,True,30,0.37576381759253635,1,1,32,1,19,1,1,5,2048,2048,64,0.3687721824074635,0.009769251718188729,1,0.37226799999999993,1
185,True,30,0.1273810202552063,8,64,64,128,1,24,12,19,2048,64,64,0.123825113078127,0.0049685876593745315,1,0.12560306666666665,1
186,True,30,0.11311113460068108,1,32,128,1,20,2,1,10,128,1024,1,0.11189646539931895,0.0016972294561038788,8,0.11250380000000001,8
187,True,30,0.13410508188204567,1,32,512,32,1,19,3,29,2048,512,64,0.12812051811795433,0.00836209388610293,1,0.1311128,8
188,True,30,0.11780592611912798,1,512,512,512,1,8,9,9,1,512,512,0.11641760721420534,0.001939866209876914,8,0.11711176666666666,8
189,True,30,0.2445614294184596,1,16,256,32,1,9,20,26,1024,256,128,0.2413307705815404,0.004514125602668434,1,0.2429461,32
190,True,30,0.15461474840234415,8,32,128,16,1,9,28,9,1,1024,64,0.15439411826432256,0.00030828143887616147,1,0.15450443333333336,8
191,True,30,0.1433090259787312,32,256,32,1,1,15,20,22,512,1,1024,0.14302430735460217,0.0003978308127276646,1,0.1431666666666667,1
192,True,30,0.11741403201637512,8,64,256,32,13,4,1,19,1,512,512,0.1140044346502915,0.0047641523113304786,8,0.11570923333333331,1
193,True,30,0.1615994580132267,1,512,512,32,1,26,22,18,512,1024,2048,0.15719260865343995,0.006157589682569706,1,0.15939603333333333,32
194,True,30,0.22368150214470905,8,512,16,128,14,4,1,4,2048,64,1,0.21809523118862434,0.007805568467375644,1,0.2208883666666667,1
195,True,30,0.13263645878946415,1,1,1,512,1,10,4,16,1024,2048,1,0.12835914121053585,0.0059765978917775625,1,0.1304978,32
196,True,30,0.19655476601247465,1,128,16,1,25,1,5,2,1,128,1,0.19289650065419203,0.005111610401711861,32,0.19472563333333334,1
197,True,30,0.11545678212699682,8,1,1,128,1,4,6,17,128,1,64,0.11232241787300319,0.0043795753873330364,8,0.11388960000000001,1
198,True,30,0.19200125231056892,1,128,64,1,21,27,1,13,2048,256,256,0.18618801435609778,0.008122704256109675,1,0.18909463333333335,8
199,True,30,0.21613588474881396,8,1,256,512,7,9,1,16,2048,512,256,0.2102203819178528,0.008265596625908029,1,0.21317813333333338,1
200,True,30,0.1873819432355975,8,16,64,1,21,29,1,7,2048,512,1024,0.18085525676440248,0.00911958952877449,1,0.1841186,1
201,True,30,0.12163518812151955,1,512,64,64,1,15,22,25,256,1024,1,0.11731587854514708,0.00603527234808468,8,0.11947553333333331,1
