id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,30,0.10545447044111397,8,1,128,128,1,13,21,5,512,1024,128,0.10533139622555265,0.00017196878269680889,8,0.10539293333333331,1
2,True,30,0.12858669835255454,1,32,64,1,28,1,7,23,512,256,1,0.1275951683141121,0.0013854422142005383,1,0.12809093333333332,8
3,True,30,0.16199031309713702,1,32,64,64,1,28,23,27,256,128,512,0.1607156869028631,0.001781005989134606,1,0.16135300000000005,8
4,True,30,0.21270119529762685,1,16,64,64,5,7,1,26,1024,512,256,0.21058220470237307,0.002960817028569421,32,0.21164169999999996,1
5,True,30,0.10584481843082458,8,32,32,64,1,10,26,5,2048,128,1,0.10548024823584207,0.0005094055838807521,8,0.10566253333333332,1
6,True,30,0.1483512322485415,1,128,512,64,30,1,20,15,512,1024,128,0.14686443441812516,0.0020774685570558115,1,0.14760783333333333,32
7,True,30,0.19326873185083956,8,64,32,512,6,1,25,9,2048,1,128,0.19185653481582712,0.001973230574182572,1,0.19256263333333334,1
8,True,30,0.22257641201900696,32,256,32,64,26,5,1,2,2048,512,2048,0.21624832131432636,0.008842096212563069,1,0.21941236666666666,1
9,True,30,0.10652635993491923,8,128,32,256,1,10,5,25,1024,256,128,0.1060293733984141,0.0006944279052252683,8,0.10627786666666666,1
10,True,30,0.14940082676036437,1,128,32,64,1,11,13,24,2048,1024,512,0.14830337323963566,0.0015334466700867044,1,0.14885210000000001,1
11,True,30,0.11983566804133812,1,64,32,16,1,7,13,3,1,64,1,0.11516253195866187,0.00652966602183195,8,0.1174991,8
12,True,30,0.11079261300905151,8,1,1,256,1,10,6,3,1,1,64,0.10673872032428182,0.00566441140415803,8,0.10876566666666666,1
13,True,30,0.3069367884777049,1,128,512,128,3,23,1,13,1024,1024,128,0.30083301152229514,0.008528667748052249,32,0.3038849,1
14,True,30,0.1981083149578178,1,64,512,512,2,26,1,11,1024,512,256,0.19203528504218223,0.008485705613559782,1,0.19507180000000002,1
15,True,30,0.1272697942556057,8,256,64,128,1,29,29,2,1024,1024,2048,0.1232360057443943,0.005636320302880829,8,0.1252529,1
16,True,30,0.12393242056506389,8,16,64,16,10,20,1,29,1024,128,256,0.12010857943493612,0.005342965635612242,8,0.1220205,1
17,True,30,0.2240363292104322,1,16,32,128,1,5,1,16,2048,2048,2048,0.2163424707895678,0.010750452162893739,1,0.2201894,8
18,True,30,0.12925184913321439,1,1,16,16,28,21,1,10,1,128,1,0.12577888420011898,0.00485269436144041,8,0.12751536666666669,8
19,True,30,0.17496479805834547,1,1,32,16,2,1,3,5,512,2048,1,0.16975486860832112,0.007279715100118197,1,0.1723598333333333,1
20,True,30,0.1129130617562076,8,128,64,32,1,18,4,16,128,512,1024,0.11167940491045908,0.0017237604567405009,8,0.11229623333333334,1
21,True,30,0.2593997344050809,32,1,64,16,22,21,1,15,64,256,2048,0.2544723322615857,0.006884946165286179,1,0.2569360333333333,1
22,True,30,0.1267827329570217,8,1,16,128,28,1,13,15,256,1024,1024,0.12255440037631161,0.0059081522756461,1,0.12466856666666666,1
23,False,1,inf,32,32,128,1,1,2,18,21,1,128,128,inf,inf,1,inf,1
24,True,30,0.21242417398665564,1,16,16,1,11,8,1,15,1,64,256,0.20738829268001097,0.007036521615511146,32,0.2099062333333333,1
25,True,30,0.24092438202579203,1,16,32,512,15,12,1,22,512,128,2048,0.23882755130754124,0.0029298535399496593,32,0.23987596666666663,1
26,True,30,0.1218667845200336,8,512,32,32,1,24,13,10,1,1,1024,0.11853241547996643,0.0046590374943043045,1,0.12019960000000002,1
27,True,30,0.12105591022285211,1,1,1,16,24,25,1,6,128,128,1024,0.11702288977714786,0.005635247102538331,8,0.11903939999999999,8
