id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
1,8,1,16,32,1,18,10,RS,27,1.6752147703403022,2048,2048,1,100,1,0.10900403333333339,8
2,8,16,16,64,26,28,1,RS,14,1.6736440597704385,256,256,1024,100,8,0.10910633333333336,1
3,8,1,128,512,28,19,1,RS,20,1.6625887151721348,1,2048,1,100,8,0.1098318333333333,1
4,8,16,16,512,1,11,17,RS,14,1.711173729509759,1024,256,256,100,8,0.10671339999999997,1
5,8,16,256,1,11,1,8,RS,23,1.6775519703328525,256,256,2048,100,1,0.1088521666666667,8
6,8,1,256,512,1,22,11,RS,21,1.76966712269248,1024,1,1024,100,1,0.10318616666666666,8
7,8,16,128,256,1,8,8,RS,9,1.6787307340607835,512,128,64,100,1,0.1087757333333333,1
8,8,16,256,1,21,10,1,RS,1,1.7054172706126132,128,256,512,100,8,0.10707360000000003,1
9,8,32,16,64,26,26,1,RS,19,1.6989329712684393,1,128,512,100,8,0.10748226666666663,1
10,8,1,128,128,12,1,12,RS,3,1.7448409525963264,256,1024,1,100,1,0.10465433333333335,8
11,8,32,512,512,7,10,1,RS,12,1.6961350702074165,512,512,512,100,8,0.1076595666666667,1
12,8,32,128,256,16,19,1,RS,10,1.6727619883990918,256,1,1,100,8,0.10916386666666668,1
13,8,1,1,512,4,12,1,RS,1,1.7038615102728,2048,1024,512,100,8,0.10717136666666664,1
14,8,256,1,128,20,19,1,RS,1,1.6815741765645906,1024,1024,1024,100,8,0.1085918,1
15,8,64,64,1,10,10,1,RS,1,1.729953881833409,512,2048,512,100,8,0.10555493333333334,1
16,8,512,16,1,2,11,1,RS,8,1.6883623410309143,1024,1024,1024,100,8,0.10815520000000005,1
17,8,16,512,512,13,15,1,RS,24,1.7285253836457353,1,512,1024,100,8,0.10564216666666668,1
18,8,1,32,128,1,8,12,RS,14,1.7064367102151865,1024,128,2048,100,8,0.10700963333333337,1
19,1,256,128,1,21,27,1,RS,2,1.6624862904904716,512,1,2048,100,8,0.10983859999999997,8
20,8,128,256,64,1,11,8,RS,4,1.7092127329313673,1,256,1024,100,1,0.1068358333333333,1
21,8,16,128,1,1,29,8,RS,30,1.720872512336812,1,128,1,100,1,0.10611196666666665,8
22,8,128,16,256,2,2,1,RS,5,1.673754000565235,1024,64,256,100,8,0.1090991666666667,1
23,8,1,256,256,19,1,9,RS,16,1.7175861041872431,512,2048,512,100,1,0.10631499999999998,8
24,8,1,128,64,11,1,11,RS,28,1.671401356243719,2048,256,2048,100,1,0.10925273333333332,8
25,8,256,512,1,1,16,13,RS,9,1.7197455928449563,1024,512,2048,100,8,0.10618149999999997,1
26,1,32,256,512,24,1,30,RS,14,1.6715818978722263,1,1,1,100,8,0.10924093333333336,8
27,1,32,16,128,16,1,4,RS,3,1.656157008190762,1024,2048,64,100,8,0.11025836666666668,8
28,8,16,128,128,1,11,12,RS,2,1.7011229018758096,1,512,1024,100,8,0.1073439,1
29,8,16,1,32,1,16,19,RS,13,1.685861078883634,256,128,2048,100,8,0.10831566666666663,1
30,8,1,16,128,1,27,6,RS,25,1.6981324791040757,256,1,2048,100,1,0.1075329333333333,1
31,1,32,256,512,11,7,1,RS,23,1.6702557754517764,512,512,128,100,8,0.10932766666666668,8
32,8,256,1,512,15,5,1,RS,4,1.6715849582359696,512,128,1,100,8,0.10924073333333337,1
33,8,1,32,1,1,25,11,RS,4,1.7128049968218022,1024,2048,256,100,1,0.10661176666666665,8
34,8,128,1,256,1,5,10,RS,29,1.713209415317373,2048,1,2048,100,8,0.1065866,1
35,8,32,128,256,1,10,30,RS,28,1.7200371753631585,256,2048,512,100,8,0.10616350000000004,1
36,8,512,16,256,1,18,10,RS,14,1.7064228899656264,2048,64,2048,100,1,0.10701049999999997,1
37,8,1,32,1,1,9,19,RS,2,1.733895688773581,512,64,512,100,8,0.10531496666666666,1
38,8,1,128,1,13,16,1,RS,13,1.7249152838031956,128,1,256,100,8,0.10586326666666669,1
39,8,256,1,256,2,8,1,RS,30,1.7273328660396359,1,2048,1024,100,8,0.10571509999999996,1
40,8,128,256,1,1,8,4,RS,15,1.7079710856595907,1024,1024,256,100,8,0.10691350000000004,1
41,1,512,64,512,8,1,7,RS,20,1.714256969800141,512,2048,2048,100,1,0.10652146666666663,8
42,8,128,128,128,1,11,25,RS,7,1.730715765622601,2048,128,512,100,8,0.10550846666666665,1
43,8,64,256,64,1,10,10,RS,25,1.7032930644540452,512,512,256,100,8,0.10720713333333336,1
44,8,256,1,1,26,11,1,RS,30,1.716844342596969,256,128,512,100,8,0.10636093333333332,1
45,8,16,256,512,1,16,5,RS,19,1.6856634350313289,512,1,256,100,8,0.10832836666666663,1
46,8,128,256,256,1,13,23,RS,11,1.6728023410020108,512,1,512,100,8,0.10916123333333334,1
47,8,1,16,128,5,30,1,RS,9,1.7124596514283539,256,128,512,100,8,0.10663326666666664,1
48,8,32,64,512,25,16,1,RS,23,1.707932213408791,512,2048,512,100,8,0.10691593333333331,1
49,8,512,16,512,22,28,1,RS,9,1.72021649370261,2048,2048,512,100,8,0.10615243333333334,1
50,8,16,32,256,1,5,8,RS,7,1.6824955389638117,2048,2048,128,100,1,0.10853233333333329,1
51,8,32,1,128,28,18,1,RS,11,1.6995227634364143,2048,256,512,100,8,0.10744496666666667,1
52,8,64,512,128,30,1,8,RS,8,1.7235628730269101,512,2048,128,100,1,0.10594633333333331,8
53,8,1,64,1,1,8,17,RS,4,1.6662068860636292,2048,128,64,100,8,0.10959333333333333,1
54,8,512,256,64,1,2,11,RS,2,1.6761937953210488,1024,512,2048,100,1,0.1089403666666667,8
55,8,512,128,512,1,26,14,RS,16,1.6663847865016317,1,128,1,100,1,0.10958163333333332,8
56,8,512,1,1,16,18,1,RS,7,1.668606923213053,1,256,2048,100,8,0.10943570000000004,1
57,8,1,16,32,7,4,1,RS,28,1.6480699955655598,256,64,64,100,8,0.1107994,1
58,8,32,128,128,19,12,1,RS,20,1.6982219703653463,1,1,512,100,8,0.10752726666666668,1
