id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
86,8,1,1,64,28,13,1,DLMT,13,1.4938140902167645,1024,2048,2048,127,8,0.09517085666666662,1
87,8,128,16,1,1,11,18,DLMT,9,1.5236217570952186,2048,256,512,130,8,0.09330896333333336,1
88,8,32,16,512,1,9,18,DLMT,20,1.5180571127555147,1,512,2048,120,8,0.09365099999999998,1
89,8,32,512,1,1,2,1,DLMT,14,1.5145661276691973,2048,1,128,124,8,0.09386686000000001,1
90,8,1,1,512,1,14,12,DLMT,30,1.5155098750566849,2048,256,1,123,8,0.09380840666666666,1
91,8,512,512,64,1,17,1,DLMT,30,1.5068501184715866,1024,2048,512,118,8,0.09434751666666669,1
92,8,512,1,512,1,18,12,DLMT,2,1.5277873201691083,1,1,1,126,8,0.09305455333333333,1
93,8,512,16,1,18,1,2,DLMT,28,1.4935203687574754,1,64,2048,138,8,0.09518957333333329,1
94,8,128,512,1,1,15,30,DLMT,28,1.516370152108207,256,512,1024,129,8,0.09375518666666668,1
95,8,32,512,512,17,16,1,DLMT,12,1.524219842929515,2048,1,1,105,8,0.09327234999999996,1
96,8,128,1,512,1,17,16,DLMT,1,1.5144947594019265,1,2048,2048,124,8,0.0938712833333333,1
97,8,128,512,512,18,18,1,DLMT,2,1.5224435131519913,512,1,1,135,8,0.09338117666666662,1
98,8,1,1,512,1,14,13,DLMT,3,1.5227087635672403,512,1,1,136,8,0.09336491000000001,1
99,8,256,1,1,1,10,9,DLMT,1,1.5093292590312526,1024,256,1024,137,8,0.09419254666666667,1
100,8,16,64,256,18,1,9,RS,19,1.4505325121115298,2048,1024,512,130,8,0.09801060333333335,1
101,8,128,128,256,1,9,28,RS,18,1.4985031225585796,1024,512,2048,130,8,0.09487305333333336,1
102,8,512,32,1,20,3,1,RS,27,1.510430528054857,1,128,1,130,8,0.09412386999999994,1
103,8,1,256,1,4,15,1,RS,6,1.5199120944003048,1,512,1024,130,8,0.09353670333333333,1
104,8,1,256,512,13,1,12,RS,9,1.5038179103473512,1024,1,1024,130,8,0.09453775333333336,1
105,8,1,256,256,17,13,1,RS,7,1.5113285315794616,512,1024,64,130,8,0.09406794333333328,1
106,8,16,512,256,1,24,14,RS,27,1.500507372334809,512,512,512,130,8,0.09474633,1
107,8,512,16,1,24,9,1,RS,2,1.5276173013724148,2048,512,2048,130,8,0.09306490999999997,1
108,8,16,64,256,1,20,19,RS,25,1.5157637723592408,1024,1024,1,130,8,0.09379269333333336,1
109,8,1,64,512,1,2,23,RS,1,1.5161853090216726,1,1024,128,130,8,0.09376661666666665,1
110,8,1,64,1,1,14,19,RS,21,1.5062703713831775,256,2048,512,130,8,0.09438382999999997,1
111,8,128,16,512,1,10,8,RS,13,1.534964488200553,1024,512,1024,130,8,0.09261944999999998,1
112,8,128,16,512,16,11,1,RS,17,1.5214275030472062,1,1,1024,130,8,0.09344353666666669,1
113,8,64,512,1,23,19,1,RS,16,1.515317058279791,1024,512,128,130,8,0.09382034333333335,1
114,8,32,16,1,19,13,1,RS,20,1.5312223780361274,2048,128,256,130,8,0.09284580000000003,1
115,8,16,256,128,20,21,1,RS,8,1.5224831861269787,1,256,2048,130,8,0.09337874333333336,1
116,8,64,512,1,1,21,8,RS,27,1.5195086755914404,512,512,1024,130,8,0.09356153666666661,1
117,8,32,128,1,17,16,1,RS,13,1.5189268844154173,1,128,2048,130,8,0.09359737333333336,1
118,8,1,128,512,29,13,1,RS,14,1.5148256808956257,1024,128,64,130,8,0.09385077666666669,1
119,8,16,512,512,5,15,1,RS,26,1.5250314175937245,512,2048,64,130,8,0.09322271333333328,1
120,8,1,16,512,1,22,6,RS,28,1.5202320034007362,2048,64,1024,130,8,0.09351702000000002,1
121,8,1,16,1,18,26,1,RS,19,1.513747490841886,1,64,512,130,8,0.0939176233333333,1
122,8,64,64,512,20,21,1,RS,26,1.5240273631395467,1024,1,2048,130,8,0.09328412999999997,1
123,8,256,1,1,25,15,1,RS,26,1.5221409796266026,2048,2048,1024,130,8,0.09339973666666662,1
124,8,256,16,128,1,13,27,RS,17,1.5223859094991747,256,2048,512,130,8,0.09338471000000001,1
125,8,32,128,256,1,21,27,RS,26,1.523157616816611,1024,128,512,130,8,0.09333739666666667,1
126,8,32,1,1,14,11,1,RS,23,1.5198686556709644,1,128,512,130,8,0.09353937666666666,1
127,8,512,64,256,1,13,7,RS,23,1.5164818129114193,1,2048,1,130,8,0.09374828333333335,1
128,8,64,16,256,14,9,1,RS,7,1.5197172894771953,256,128,128,130,8,0.0935486933333333,1
129,8,128,16,1,28,9,1,RS,27,1.514996631151913,128,256,1024,130,8,0.09384018666666669,1
130,8,32,64,512,1,2,8,RS,24,1.5239447544402787,512,64,64,130,1,0.09328918666666665,1
131,8,32,16,1,1,18,6,RS,3,1.5077575135429535,128,2048,256,130,8,0.09429073666666667,1
132,8,1,256,128,1,18,18,RS,2,1.511472553356061,256,1,1024,130,8,0.09405897999999997,1
133,8,512,16,256,7,20,1,RS,16,1.5071991184018805,2048,64,1024,130,8,0.09432566999999997,1
134,8,128,1,256,1,15,28,RS,10,1.5184272710517215,1024,1,1024,130,8,0.09362817000000005,1
135,8,1,64,512,3,17,1,RS,3,1.5236809784477854,2048,64,128,130,8,0.09330533666666664,1
136,8,1,16,1,18,17,1,RS,21,1.5228133128388595,1024,128,256,130,8,0.09335849999999996,1
137,8,64,128,256,14,13,1,RS,10,1.5116227101497575,2048,1024,128,130,8,0.09404963666666664,1
138,8,16,16,1,12,17,1,RS,15,1.5272009780899438,1024,1,2048,130,8,0.09309028000000001,1
139,8,16,256,1,14,22,1,RS,28,1.5266131187388232,2048,512,64,130,8,0.0931261266666667,1
140,8,1,16,256,3,15,1,RS,30,1.5276586124047675,512,256,512,130,8,0.09306239333333331,1
141,8,32,16,128,1,11,2,RS,12,1.524321766883964,512,256,1024,130,8,0.0932661133333333,1
142,8,64,16,32,1,2,17,RS,2,1.497321338923298,2048,1,64,130,8,0.0949479333333333,1
143,8,128,16,256,22,13,1,RS,14,1.5172252534123658,1024,2048,128,130,8,0.09370234666666662,1
144,8,16,256,1,1,18,27,RS,10,1.5153362785267805,256,512,1024,130,8,0.09381915333333336,1
145,8,16,64,128,1,20,10,RS,10,1.504935575227372,1,64,64,130,8,0.09446754333333332,1
146,8,256,64,1,1,15,23,RS,13,1.5198157959281953,512,512,1024,130,8,0.09354262999999997,1
147,8,512,128,256,1,15,20,RS,18,1.5159944218867405,2048,2048,1,130,8,0.09377842333333332,1
148,8,32,16,512,1,12,14,RS,27,1.517936954160089,512,128,2048,130,8,0.09365841333333334,1
149,8,64,256,1,5,25,1,RS,14,1.521391792505304,2048,512,256,130,8,0.09344573,1
150,8,16,16,256,18,30,1,RS,19,1.5139416280338898,1024,128,64,130,8,0.09390557999999999,1
151,8,16,64,64,1,15,30,RS,2,1.5073309539920274,128,1024,512,130,8,0.09431741999999994,1
152,8,64,32,256,1,16,27,RS,7,1.515839408618102,2048,2048,256,130,8,0.09378801333333336,1
153,8,512,64,1,6,11,1,RS,3,1.5143245675858488,128,1024,2048,130,8,0.09388183333333339,1
154,8,32,512,256,1,20,16,RS,10,1.5085713901689168,1024,1,512,130,8,0.09423986666666669,1
155,8,32,16,512,1,20,8,RS,14,1.512694440743027,2048,64,128,130,1,0.09398300333333333,8
156,8,128,512,512,1,22,28,RS,8,1.527085218084112,512,1024,2048,130,8,0.0930973366666667,1
157,8,64,128,512,1,25,10,RS,5,1.5079389211173684,1,512,512,130,8,0.0942793933333333,1
158,8,16,128,1,1,20,19,RS,28,1.5115792082160777,256,2048,64,130,8,0.09405234333333334,1
159,8,1,16,128,21,11,1,RS,25,1.5225498739915004,128,512,256,130,8,0.09337465333333335,1
160,8,64,256,1,1,10,13,RS,19,1.5163222794079694,512,1024,1,130,8,0.09375814666666665,1
161,8,128,1,256,1,1,18,RS,3,1.5106408834781178,2048,1024,2048,130,8,0.09411076333333328,1
162,8,128,64,1,10,10,1,RS,17,1.5152388901984564,1024,1,128,130,8,0.0938251833333333,1
163,8,16,32,128,1,16,8,RS,6,1.5178317229590648,1024,1,256,130,8,0.09366490666666664,1
164,8,256,1,128,1,21,10,RS,17,1.5163401774060563,1,2048,1024,130,8,0.09375703999999994,1
165,8,16,1,1,1,22,1,RS,27,1.5076985641462648,64,1,1024,130,8,0.09429442333333335,1
166,8,256,16,1,1,22,5,RS,15,1.5211741464091424,1,64,256,130,8,0.0934591,1
167,8,16,1,64,3,22,1,RS,17,1.503200174842397,1024,256,128,130,8,0.09457660333333336,1
168,8,64,16,512,24,10,1,RS,25,1.5308716713757273,512,2048,128,130,8,0.09286707000000002,1
169,8,1,64,512,15,15,1,RS,11,1.5178565709000733,1,64,64,130,8,0.09366337333333336,1
170,8,1,16,256,1,5,20,RS,5,1.5202425700085103,256,128,256,130,8,0.09351637,1
171,8,32,1,1,24,1,17,RS,9,1.5059081363013014,1024,512,1,130,8,0.0944065333333333,1
172,8,64,32,128,1,29,5,RS,3,1.4969771606956024,256,1024,64,130,8,0.09496976333333333,1
173,8,1,512,512,1,23,4,RS,4,1.5305912656366498,1,2048,64,130,8,0.09288408333333333,1
174,8,32,128,128,17,17,1,RS,13,1.5108185970708794,128,1024,64,130,8,0.09409969333333336,1
175,8,16,16,512,1,15,20,RS,4,1.532171701869511,1024,64,2048,130,8,0.09278827333333335,1
176,8,32,16,1,1,25,8,RS,2,1.516923009620219,512,512,1024,130,1,0.09372101666666667,1
177,8,256,512,512,25,13,1,RS,28,1.5188230844405801,512,2048,256,130,8,0.09360377000000003,1
178,8,16,256,512,1,25,29,RS,15,1.510850066526576,1024,512,1024,130,8,0.09409773333333332,1
179,8,256,16,1,1,3,22,RS,22,1.5303511564950156,1024,2048,512,130,8,0.09289865666666669,1
180,8,1,128,512,24,22,1,RS,8,1.5187313044113648,2048,128,256,130,8,0.09360942666666668,1
181,8,16,16,256,16,9,1,RS,23,1.5228502320019972,1024,64,64,130,8,0.09335623666666668,1
182,8,64,128,1,21,21,1,RS,14,1.5270459609997438,1024,2048,1024,130,8,0.09309973000000002,1
183,8,1,1,256,9,22,1,RS,5,1.5189681054331705,1024,256,1,130,8,0.09359483333333336,1
184,8,32,64,1,9,19,1,RS,17,1.5180040007427322,256,128,2048,130,8,0.09365427666666669,1
185,8,256,64,1,1,2,21,RS,4,1.5188269787118784,128,64,512,130,8,0.09360353000000006,1
186,8,32,64,1,8,15,1,RS,8,1.521494858343126,512,2048,1024,130,8,0.09343939999999998,1
187,8,64,16,512,1,9,15,RS,15,1.5265135106685794,1024,2048,2048,130,8,0.09313220333333337,1
188,8,128,1,1,26,16,1,RS,18,1.5202056146166651,1,64,256,130,8,0.09351864333333332,1
189,8,32,256,512,17,22,1,RS,6,1.5166035748164612,512,1,128,130,8,0.09374075666666663,1
190,8,32,128,512,16,15,1,RS,2,1.5191108816055223,1024,2048,128,130,8,0.09358603666666666,1
191,8,32,16,256,1,12,30,RS,28,1.5282486463797997,1024,128,128,130,8,0.09302646333333335,1
192,8,512,256,1,16,24,1,RS,21,1.5153662673929817,2048,1024,1,130,8,0.09381729666666669,1
193,8,64,256,1,20,1,21,RS,25,1.4965423949004053,128,256,1,130,8,0.09499735333333338,1
194,8,32,1,128,1,20,20,RS,11,1.5129742306113585,2048,256,512,130,8,0.0939656233333333,1
195,8,32,16,1,9,22,1,RS,4,1.521334322675928,2048,512,64,130,8,0.09344925999999999,1
196,8,128,16,512,7,11,1,RS,12,1.527802808151846,1024,256,2048,130,8,0.09305361000000002,1
197,8,256,1,512,12,16,1,RS,11,1.5258667297473512,2048,2048,1,130,8,0.09317168000000003,1
198,8,64,16,256,16,20,1,RS,2,1.5211886325092967,2048,256,512,130,8,0.09345821000000004,1
199,8,32,16,1,1,18,11,RS,8,1.520512799945098,512,128,256,130,8,0.09349974999999998,1
