id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
17,128,1,DLMT,32,1,True,1,32,True,128,1,1,False,0.12249986948732472,512,128,1024,512,True,True,True,512,False,512,False,512,False,1,16,1,True,1,4,1,1,1,1,1,0.001586294679884093,35,0.12355093051267532,4,0.12302540000000002,16,8,8,True,1,1024,1,128,True,4,1,32,1
18,128,1,DLMT,1,1,True,8,16,True,128,256,32,False,0.15772379172138992,32,512,512,512,False,True,False,16,True,32,False,128,False,8,12,256,True,1,4,16,1,12,1,16,0.0014127521567233684,35,0.15865986542146718,4,0.15819182857142855,16,1,1,True,512,1024,12,1,False,8,8,1,1
19,64,256,DLMT,8,1,False,1,64,False,16,32,1,False,0.10187770681339706,64,64,256,1024,False,False,True,32,True,128,True,256,False,16,4,1024,True,8,1,16,1,4,1,16,0.0025424312548649733,35,0.10356229318660298,1,0.10272000000000002,12,1,8,True,256,1,8,2048,True,1,1,1,16
20,512,512,DLMT,1,1,True,8,512,False,128,256,1,False,0.12879188501605063,64,128,1024,128,False,False,False,16,True,1,True,1,True,16,12,1024,False,1,8,12,1,1,16,1,0.0021752794019929233,35,0.1302332006982351,4,0.12951254285714286,16,8,1,True,2048,1,12,1,False,1,1,32,16
21,512,64,DLMT,8,32,True,1,512,False,16,16,8,True,0.13981926706610526,512,64,2048,1024,False,False,False,64,False,32,True,1024,False,1,8,1024,False,1,4,1,16,16,8,1,0.002835255950005362,35,0.1416978757910376,1,0.14075857142857143,1,1,1,True,1,1024,4,2048,False,1,8,8,16
22,512,512,DLMT,8,1,False,32,32,False,64,16,1,False,0.1668498188329569,64,16,1024,128,False,False,True,256,False,256,False,1024,False,4,1,512,True,1,8,1,1,1,16,1,0.002450504320605479,35,0.16847349545275736,12,0.16766165714285713,12,8,8,True,1024,2048,16,64,True,1,1,1,12
23,128,2048,DLMT,1,1,False,32,16,False,16,1,32,True,0.2258242438777952,256,64,2048,64,True,False,False,16,True,256,True,2048,True,16,12,512,True,8,1,4,1,4,12,1,0.007180447297533283,35,0.23058192755077628,1,0.22820308571428574,12,32,1,True,1024,2048,8,256,False,1,1,32,4
24,256,128,DLMT,1,32,True,1,512,True,16,16,8,True,0.10398499502306972,512,1,256,2048,False,False,False,64,True,16,True,1,False,16,16,512,True,1,12,1,16,12,8,1,0.0019476139260382083,35,0.10527546211978746,16,0.10463022857142859,16,1,8,True,1024,1,1,64,True,1,1,32,4
25,1,1024,DLMT,1,1,False,32,1,False,256,1,32,False,0.12723310287999556,512,64,128,256,True,False,True,1,True,64,True,64,False,8,16,1,True,1,1,1,16,1,4,1,0.0013175506322610237,35,0.12810609712000448,8,0.12766960000000002,12,1,8,True,1,1024,16,64,False,16,8,8,1
26,512,128,DLMT,8,8,False,8,128,True,512,256,8,False,0.12342363543099599,16,32,1024,1,False,False,False,128,False,512,True,1,True,4,16,64,True,16,1,1,1,12,16,1,0.0020643496152245025,35,0.12479145028328972,12,0.12410754285714286,4,32,1,True,1,1,4,1024,False,4,8,1,1
