id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,2048,128,512,0.18307329573767617,1,512,128,512,RS,False,True,True,False,True,4,32,30,0.18321923759565717,0.00020392121572367547,0.18314626666666667,8,22,True,1,1
2,64,128,1,0.10078410959866968,1,512,32,16,RS,True,False,True,False,False,2,1,30,0.10419782373466366,0.004769904579641913,0.10249096666666667,1,18,True,28,8
3,256,1,1,inf,1,1,1,256,RS,True,False,False,False,True,18,1,1,inf,inf,inf,1,11,False,12,32
4,2048,2048,256,0.21802571597943443,32,64,16,64,RS,False,True,False,False,False,11,1,30,0.2239367506872323,0.008259353419743114,0.22098123333333336,1,28,True,11,1
5,256,256,512,0.1125556679070224,8,256,16,16,RS,True,False,False,False,False,2,8,30,0.11740606542631093,0.006777349367480542,0.11498086666666667,1,7,True,1,1
6,1,1,1024,0.18286159757173331,8,256,64,256,RS,True,False,True,False,True,23,8,30,0.18888166909493337,0.008411708064689096,0.18587163333333334,22,1,True,16,1
7,128,256,128,0.10526568495311832,8,32,128,128,RS,False,False,False,True,True,11,1,30,0.10538824838021503,0.00017125506967353998,0.10532696666666667,1,10,True,25,8
8,64,1,128,0.11864236119594838,1,16,64,16,RS,False,True,False,True,True,10,1,30,0.11878923880405161,0.00020522871793846666,0.1187158,1,28,True,14,8
9,512,2048,256,0.10552744842366647,1,64,128,16,RS,False,True,True,False,True,22,1,30,0.10934748490966685,0.005337649493508876,0.10743746666666666,20,1,True,24,8
10,512,1024,1,inf,1,1,256,32,RS,True,False,True,False,False,19,1,1,inf,inf,inf,14,3,False,1,32
11,256,1,1,0.28983105925257824,1,128,256,1,RS,True,False,False,False,False,15,1,30,0.2910894074140884,0.0017582610667613901,0.2904602333333333,8,1,True,9,32
12,1,512,2048,0.09240781657330327,1,256,32,1,RS,False,False,True,False,False,2,8,30,0.09246503676003007,7.995245642811093e-05,0.09243642666666667,4,18,True,1,8
13,256,1,2048,0.17834101948805292,8,256,256,256,RS,False,False,True,True,False,2,1,30,0.17857591384528038,0.0003282125056863144,0.17845846666666665,21,25,True,1,1
14,512,64,1,0.11650859474461174,8,1,64,32,RS,True,False,False,False,True,18,1,30,0.12115020525538829,0.00648561606223084,0.11882940000000002,21,16,True,1,8
15,512,1,1024,0.11122231165251552,8,512,64,256,RS,False,True,True,False,False,7,8,30,0.11175715501415114,0.0007473243799642089,0.11148973333333333,1,23,True,3,1
16,128,1,1,0.11043518818856486,1,16,64,64,RS,False,True,False,True,True,14,8,30,0.11095201181143512,0.0007221458116844088,0.11069359999999999,1,6,True,7,8
17,256,512,1,0.13053145797034324,1,32,32,256,RS,True,False,False,True,False,23,1,30,0.13657360869632348,0.008442558829064934,0.13355253333333336,1,4,True,11,1
18,1024,64,256,0.10936343205535809,8,256,1,512,RS,True,True,False,False,False,12,8,30,0.11418256794464188,0.0067336682078443216,0.11177299999999998,1,5,True,2,1
19,512,1024,2048,0.20375096330583065,1,256,16,32,RS,False,True,True,False,True,9,8,30,0.20395363669416933,0.00028319088379866083,0.2038523,9,26,True,1,1
20,64,256,1024,0.2730747352701264,1,1,256,32,RS,True,False,False,True,True,5,1,30,0.28246939806320703,0.013126947159522239,0.2777720666666667,1,1,True,17,1
21,128,256,2048,0.10412427306792449,8,128,256,1,RS,False,True,False,True,True,24,1,30,0.10425092693207552,0.00017697054368830172,0.1041876,9,1,True,25,8
22,1,1,1,0.17739326877072384,1,256,16,512,RS,False,True,True,False,True,4,1,30,0.1788839978959428,0.002082961665247081,0.17813863333333332,1,15,True,5,32
23,1024,2048,256,0.23405895721799358,1,1,128,1,RS,True,True,True,False,False,13,1,30,0.23596524278200648,0.002663609159893146,0.23501210000000003,24,1,True,17,32
