id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,T1_I,T1_J,T1_K,technique,speedup,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,points
1,1,1,2048,1,64,256,512,512,23,16,64,16,RS,1.339468843559874,1,False,True,True,1,1024,True,5,1,22,1,1,1024,4,1,0.05497148285714285,1,True,300
2,1,1,128,1,32,256,16,256,8,64,16,128,RS,1.0906140829487574,1,True,True,True,64,512,False,22,1,30,1,1,64,18,1,0.06751479714285714,1,True,300
3,1,1,1024,1,512,1,32,512,16,16,64,512,RS,1.1258949710452821,1,True,True,False,256,2048,False,1,30,29,2048,1,1,11,1,0.06539916285714288,32,True,300
4,1,1,256,8,32,256,64,2048,16,1,256,64,RS,0.9451132937216655,1,False,False,True,512,2048,False,1,9,6,128,1,512,7,1,0.07790874285714285,1,False,300
5,8,1,1024,8,1,16,16,128,17,16,16,64,RS,1.3783400727651116,1,True,True,False,1,1024,True,20,1,23,64,1,64,1,24,0.05342120571428571,8,False,300
