id,RT1_K,RT1_J,T1_Ja,technique,T1_I,T1_J,T1_Ia,cost_mean,T1_K,T1_Ka,speedup,U1_K,U1_J,U1_I,points,RT1_I
1,8,1,2048,RS,16,256,512,0.08321181714285715,256,256,0.8899682036919482,1,17,19,300,1
2,1,1,256,RS,16,16,1024,0.07139293428571429,1,256,1.0372997295810826,30,18,1,300,1
