id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
715,512,256,RS,8,1,False,32,64,True,128,64,1,False,0.18736677079976374,128,256,512,2048,True,True,True,128,True,128,True,1024,False,12,8,512,True,1,16,1,1,8,12,1,0.00045518619648379815,35,0.18766837205737916,1,0.18751757142857145,4,1,1,True,512,128,1,1,True,1,1,32,1
716,1,256,RS,1,32,False,1,64,True,64,32,32,True,0.15765571768734987,32,1,512,64,True,False,False,16,True,64,False,256,False,4,8,256,False,1,16,1,16,12,4,1,0.006567907621090882,35,0.16200753945550722,12,0.15983162857142855,8,1,8,True,1,1024,8,512,True,1,1,1,16
717,32,1,RS,32,1,False,8,16,True,1,16,1,False,0.10847877904843961,32,16,1,64,False,False,True,64,True,128,True,512,False,12,1,256,True,4,1,1,12,4,16,1,0.005319544619454502,35,0.11200344952298893,4,0.11024111428571427,4,1,1,True,64,512,12,64,True,1,8,1,4
718,128,2048,RS,1,1,True,32,1,True,1,16,8,False,0.2166071584710297,16,128,256,2048,False,False,False,32,True,64,True,2048,False,4,1,64,False,1,12,12,1,1,12,1,0.009679561678219168,35,0.22302072724325603,8,0.21981394285714287,12,1,8,True,64,128,4,1024,True,1,1,32,4
719,128,128,RS,8,8,True,8,32,False,1,1,1,False,0.08634834584556692,32,128,512,2048,True,True,False,128,True,128,False,128,False,16,12,2048,True,1,12,8,1,8,12,1,0.006168609265886733,35,0.09043559701157591,8,0.08839197142857141,4,1,32,True,128,2048,4,64,True,4,1,1,1
720,1,256,RS,1,8,True,1,16,False,64,32,1,False,0.11621217035384337,256,256,128,256,False,True,False,1,True,64,False,64,True,16,8,1,True,16,1,8,1,16,1,1,0.00045104793536829366,35,0.11651102964615664,16,0.11636160000000001,8,1,1,True,1,1,16,1,False,16,8,8,1
721,128,256,RS,1,8,True,1,256,True,1,32,8,True,0.13330193018987918,128,32,512,1024,False,False,True,512,False,512,True,1024,False,16,12,1,False,4,1,12,1,4,1,8,0.00015363490781055921,35,0.13340372695297797,4,0.13335282857142858,16,32,1,True,512,2048,12,128,True,1,1,1,1
722,128,1024,RS,8,1,False,1,64,False,1,1,8,True,0.14561426694381802,128,128,256,128,False,True,True,32,True,16,False,256,True,12,12,1,False,8,1,16,1,12,1,8,0.007350187806902262,35,0.1504844187704677,1,0.14804934285714286,8,32,1,True,2048,1024,4,256,True,1,1,1,12
723,16,1024,RS,8,1,False,1,32,False,16,16,8,True,0.0887345963137121,64,64,128,64,False,True,True,128,True,64,True,256,False,8,12,2048,True,1,16,1,12,12,16,1,0.0053906420020594335,35,0.0923063751148593,12,0.0905204857142857,1,1,1,True,512,1024,1,128,True,1,8,1,4
724,64,256,RS,8,32,True,1,128,False,32,1,1,False,0.24953526346867447,1,64,2048,1024,True,True,False,512,True,32,True,1,False,16,16,1,False,1,8,16,1,16,1,16,0.011145614323497978,35,0.25692022224561123,4,0.25322774285714283,16,32,1,True,1024,256,8,1024,False,16,8,1,1
