id,T1_I,T1_J,cost_mean,U_J,U_I,technique,points,T2_I,speedup,T2_J,U1_I,OMP,VEC2,VEC1,RT_I,SCR,RT_J
1,64,512,0.027772322857142855,1,29,RS,300,64,11.259174473085384,1,17,True,True,False,8,True,8
2,32,1,0.027725034285714285,1,8,RS,300,256,11.278378426841055,512,19,True,True,False,1,True,8
3,128,1,0.028164520000000005,21,1,RS,300,128,11.102387989265521,1024,13,True,False,False,8,True,8
4,64,16,0.02706030285714286,9,1,RS,300,256,11.555429746008544,256,10,True,False,True,8,True,1
5,32,1,0.02790936,1,26,RS,300,64,11.203891044847628,2048,25,True,True,True,8,True,8
6,64,512,0.027593468571428564,1,25,RS,300,64,11.33215375812537,1,18,True,True,True,8,True,8
7,128,512,0.02810796285714286,1,10,RS,300,1,11.124727542891502,1,4,True,True,False,1,True,32
8,1,1,0.02755608571428571,1,9,RS,300,64,11.347527069467674,128,8,True,False,False,1,True,8
9,32,128,0.027585159999999997,29,1,RS,300,1,11.335566970480816,1,23,True,False,False,8,True,8
10,128,1,0.027175182857142852,1,17,RS,300,1,11.50658047878558,256,6,True,False,True,8,True,8
